Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Jun 2024,Dec 2024,Jun 2025,Dec 2025
Sales,1.12,1.00,0.20,2.31,2.71,,,,
  └─ YOY Sales Growth %,,,-72.22%,100.00%,,,,178.05%,-8.07%
Expenses,0.48,0.36,-0.29,0.59,0.58,,,,
  └─ Material Cost %,4.46%,7.00%,60.00%,7.36%,7.38%,,,,
  └─ Employee Cost %,4.46%,3.00%,25.00%,2.16%,2.21%,,,,
Operating Profit,0.64,0.64,0.49,1.72,2.13,,,,
OPM %,57.14%,64.00%,245.00%,74.46%,78.60%,,,,
Other Income,-0.00,-0.00,-0.00,-0.00,-0.00,,,,
Interest,-0.00,-0.00,-0.00,-0.00,-0.00,,,,
Depreciation,0.15,0.12,0.15,0.38,0.38,,,,
Profit before tax,0.49,0.52,0.34,1.34,1.75,,,,
Tax %,-0.00%,5.77%,17.65%,26.12%,25.71%,,,,
Net Profit,0.49,0.49,0.27,0.99,1.29,,,,
  └─ Profit excl Excep,0.49,0.49,0.27,0.99,1.29,,,,
  └─ Profit for PE,0.49,0.49,0.27,0.99,1.29,,,,
  └─ Profit for EPS,0.49,0.49,0.27,0.99,1.29,,,,
EPS in Rs,0.46,0.46,0.25,0.93,0.86,,,,
Raw PDF,,,,,,,,,
