Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,13692,12588,12250,11701,13487,13618,11213,11751,13183,12294,11686,13027,16218
  └─ YOY Sales Growth %,-4.52%,-3.50%,-9.40%,-6.03%,-1.50%,8.18%,-8.46%,0.42%,-2.25%,-9.72%,4.21%,10.86%,23.02%
Expenses,11505,9960,9965,8859,11042,10779,9013,9567,10922,9289,9605,11398,13289
  └─ Material Cost %,50%,43%,47%,39%,46%,50%,46%,44%,49%,42%,45%,52%,51%
  └─ Employee Cost %,2%,2%,3%,3%,3%,2%,2%,3%,2%,2%,3%,2%,2%
Operating Profit,2187,2628,2285,2843,2444,2839,2200,2184,2262,3006,2081,1629,2929
OPM %,16%,21%,19%,24%,18%,21%,20%,19%,17%,24%,18%,13%,18%
Other Income,-138,55,32,35,35,34,35,26,-1158,30,22,-45,-550
  └─ Exceptional items,-153,0,0,0,0,0,0,0,-1229,0,0,-55,-817
  └─ Other income normal,16,55,32,35,35,34,35,26,72,30,22,10,266
Interest,371,329,329,315,321,332,326,313,342,297,371,406,442
Depreciation,873,588,604,636,995,683,696,698,691,722,750,839,862
Profit before tax,805,1767,1384,1927,1164,1859,1213,1199,72,2018,982,339,1074
Tax %,42%,4%,-0%,-0%,20%,28%,29%,21%,523%,26%,35%,44%,3%
Net Profit,466,1692,1390,1928,933,1338,860,951,-304,1496,635,189,1041
  └─ Minority share,-3,-5,-2,0,2,2,0,-0,-36,-2,3,2,4
  └─ Exceptional items AT,-89,0,0,0,0,0,0,0,-854,0,0,-11,-358
  └─ Profit excl Excep,554,1692,1390,1928,933,1338,860,951,550,1496,635,200,1400
  └─ Profit for PE,551,1687,1388,1928,935,1340,861,950,515,1494,638,202,1403
  └─ Profit for EPS,463,1687,1388,1928,935,1340,861,950,-339,1494,638,190,1045
  └─ YOY Profit Growth %,-60%,21%,53%,174%,70%,-21%,-38%,-51%,-45%,11%,-26%,-79%,173%
EPS in Rs,4.53,16.54,13.60,18.90,9.17,13.14,8.44,9.32,-3.33,14.65,6.26,1.87,10.24
Raw PDF,,,,,,,,,,,,,
