Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,16624,18660,16875,17671,17344,17260,16648,17940,16413,17461,17973,18916
  └─ YOY Sales Growth %,,,,,4.34%,-7.50%,-1.34%,1.52%,-5.37%,1.16%,7.96%,5.44%
Expenses,14626,16220,14701,15149,15004,15055,14772,15408,14228,15032,15955,16950
  └─ Material Cost %,76%,75%,73%,71%,72%,73%,73%,71%,71%,70%,71%,73%
  └─ Employee Cost %,3%,3%,3%,3%,3%,3%,4%,3%,4%,4%,4%,4%
Operating Profit,1997,2440,2173,2522,2340,2205,1876,2533,2185,2429,2018,1966
OPM %,12%,13%,13%,14%,13%,13%,11%,14%,13%,14%,11%,10%
Other Income,388,383,369,333,224,192,244,210,215,231,244,259
  └─ Other income normal,388,383,369,333,224,192,244,210,215,231,244,259
Interest,37,35,49,37,32,29,30,36,25,17,27,38
Depreciation,560,557,534,558,529,519,527,530,528,518,569,584
Profit before tax,1788,2232,1960,2260,2003,1850,1563,2175,1847,2126,1666,1604
Tax %,26%,27%,27%,26%,26%,26%,26%,26%,26%,26%,26%,22%
Net Profit,1329,1628,1425,1677,1490,1375,1161,1614,1369,1572,1234,1256
  └─ Profit excl Excep,1329,1628,1425,1677,1490,1375,1161,1614,1369,1572,1234,1256
  └─ Profit for PE,1329,1628,1425,1677,1490,1375,1161,1614,1369,1572,1234,1256
  └─ Profit for EPS,1329,1628,1425,1677,1490,1375,1161,1614,1369,1572,1234,1256
  └─ YOY Profit Growth %,,,,,12%,-16%,-19%,-4%,-8%,14%,6%,-22%
EPS in Rs,,,,,18.33,16.93,14.29,19.87,16.85,19.35,15.19,15.45
Raw PDF,,,,,,,,,,,,
