Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,237,352,213,297,342,478
Expenses,229,327,201,268,315,431
  └─ Material Cost %,12.54%,12.71%,9.43%,14.01%,-1.45%,11.25%
  └─ Employee Cost %,2.99%,2.55%,4.52%,3.77%,4.17%,3.47%
Operating Profit,7,25,12,29,27,47
OPM %,3%,7%,6%,10%,8%,10%
Other Income,3,4,2,3,2,3
  └─ Other income normal,3.05,4.38,2.07,3.23,1.54,2.73
Interest,3,2,3,2,3,5
Depreciation,2,4,3,5,4,5
Profit before tax,5,23,8,26,22,41
Tax %,24%,24%,23%,26%,27%,29%
Net Profit,4,18,6,19,16,29
  └─ Minority share,0.00,-0.01,0.00,-0.10,-0.15,0.04
  └─ Profit excl Excep,4.12,17.77,6.08,19.20,16.20,28.72
  └─ Profit for PE,4.12,17.76,6.08,19.10,16.05,28.76
  └─ Profit for EPS,4.12,17.76,6.08,19.10,16.05,28.76
EPS in Rs,4.74,20.42,3.47,8.02,6.74,12.07
Raw PDF,,,,,,
