Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3778,3338,3177,3053,3570,3464,3424,3491,4313,3819,3640,3713,4615
  └─ YOY Sales Growth %,6.44%,-14.28%,-14.77%,-12.01%,-5.51%,3.77%,7.77%,14.36%,20.83%,10.23%,6.30%,6.34%,7.00%
Expenses,2846,2642,2551,2487,2874,2861,2886,2872,3356,2989,2866,2933,3589
  └─ Material Cost %,49.98%,50.94%,50.99%,50.92%,51.36%,52.74%,53.56%,51.72%,51.76%,50.04%,48.60%,49.44%,49.45%
  └─ Employee Cost %,5.67%,6.53%,7.13%,7.99%,6.91%,7.28%,7.40%,7.47%,6.40%,7.26%,7.61%,7.56%,6.78%
Operating Profit,932,696,626,566,696,603,538,620,957,830,774,780,1026
OPM %,25%,21%,20%,19%,19%,17%,16%,18%,22%,22%,21%,21%,22%
Other Income,22,12,29,19,23,25,33,40,34,29,26,-46,13
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-73.24,-11.71
  └─ Other income normal,22.33,11.76,29.12,18.75,23.39,25.26,33.33,39.64,34.49,29.12,25.71,27.33,24.90
Interest,66,66,79,67,90,97,94,96,89,80,71,66,62
Depreciation,155,157,161,169,186,188,194,194,195,203,212,217,220
Profit before tax,733,486,415,348,443,344,284,369,707,576,517,452,757
Tax %,23%,26%,27%,27%,5%,27%,29%,26%,26%,25%,25%,4%,23%
Net Profit,562,359,301,253,422,252,201,271,526,432,388,433,582
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-70,-9
  └─ Profit excl Excep,562,359,301,253,422,252,201,271,526,432,388,503,591
  └─ Profit for PE,562,359,301,253,422,252,201,271,526,432,388,503,591
  └─ Profit for EPS,562,359,301,253,422,252,201,271,526,432,388,433,582
  └─ YOY Profit Growth %,-7%,-41%,-37%,-50%,-25%,-30%,-33%,7%,25%,71%,93%,85%,12%
EPS in Rs,18.97,12.12,10.15,8.55,14.24,8.51,6.79,9.14,17.75,14.58,13.10,14.60,19.63
Raw PDF,,,,,,,,,,,,,
