Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,141,145,153,162,171,175,187,195,203,210,222,233,238
  └─ YOY Sales Growth %,15.21%,20.72%,15.02%,35.51%,21.73%,20.97%,22.49%,20.23%,18.34%,19.95%,18.93%,19.53%,17.66%
Expenses,124,128,134,142,149,154,164,170,177,184,194,209,213
  └─ Material Cost %,63%,63%,63%,63%,63%,62%,62%,62%,62%,62%,62%,62%,62%
  └─ Employee Cost %,13%,14%,14%,14%,13%,16%,17%,16%,16%,15%,16%,18%,17%
Operating Profit,16,17,19,20,22,21,23,25,26,27,29,24,25
OPM %,12%,12%,12%,13%,13%,12%,12%,13%,13%,13%,13%,10%,11%
Other Income,2,3,3,3,4,4,5,4,5,5,4,5,4
  └─ Other income normal,2.33,2.62,3.24,3.16,4.44,4.13,4.84,4.11,4.94,5.24,3.65,4.57,4.35
Interest,0,0,0,0,0,0,1,1,1,1,1,1,1
Depreciation,4,3,3,3,4,6,6,7,8,7,8,8,8
Profit before tax,15,16,18,20,23,18,20,20,21,23,24,20,20
Tax %,24%,26%,23%,24%,25%,26%,23%,23%,22%,24%,25%,25%,21%
Net Profit,11,12,14,15,17,13,16,16,16,18,18,15,16
  └─ Profit excl Excep,11.44,12.07,14.03,15.10,16.99,13.48,15.66,15.58,16.28,17.66,17.80,15.00,15.99
  └─ Profit for PE,11.44,12.07,14.03,15.10,16.99,13.48,15.66,15.58,16.28,17.66,17.80,15.00,15.99
  └─ Profit for EPS,11.44,12.07,14.03,15.10,16.99,13.48,15.66,15.58,16.28,17.66,17.80,15.00,15.99
  └─ YOY Profit Growth %,-22.65%,23.16%,15.09%,64.31%,48.51%,11.68%,11.62%,3.18%,-4.18%,31.01%,13.67%,-3.72%,-1.78%
EPS in Rs,5.38,5.80,6.75,7.26,8.17,6.45,7.49,7.45,7.77,8.43,8.45,7.12,7.58
Raw PDF,,,,,,,,,,,,,
