Metric,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021
Sales,31.35,31.56,25.42,22.24,21.30,22.93,21.41,20.66,18.18,18.79,16.32,14.68,10.47
  └─ YOY Sales Growth %,,,,,-32.06%,-27.34%,-15.77%,-7.10%,-14.65%,-18.05%,-23.77%,-28.94%,-42.41%
Expenses,32.18,35.92,23.45,24.62,26.47,25.96,22.49,23.11,15.68,17.08,17.09,17.19,13.72
  └─ Employee Cost %,17.19%,14.67%,12.51%,10.30%,13.57%,13.21%,14.95%,14.42%,15.29%,14.74%,16.05%,15.94%,22.73%
Operating Profit,-0.83,-4.36,1.97,-2.38,-5.17,-3.03,-1.08,-2.45,2.50,1.71,-0.77,-2.51,-3.25
OPM %,-2.65%,-13.81%,7.75%,-10.70%,-24.27%,-13.21%,-5.04%,-11.86%,13.75%,9.10%,-4.72%,-17.10%,-31.04%
Other Income,1.30,0.73,0.60,0.63,0.72,1.09,0.77,0.45,1.47,-0.10,0.86,0.51,0.13
  └─ Exceptional items,0.94,0.00,0.00,-0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.36,0.73,0.60,1.57,0.72,1.09,0.77,0.45,1.47,-0.10,0.86,0.51,0.13
Interest,6.88,6.80,8.13,-0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,7.07,7.19,7.12,6.46,6.52,6.57,6.56,6.52,6.43,6.46,6.43,6.30,6.19
Profit before tax,-13.48,-17.62,-12.68,-7.44,-10.97,-8.51,-6.87,-8.52,-2.46,-4.85,-6.34,-8.30,-9.31
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-13.48,-17.62,-12.68,-7.44,-10.97,-8.51,-6.87,-8.52,-2.46,-4.85,-6.34,-8.30,-9.31
  └─ Exceptional items AT,1,0,0,-1,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-14,-18,-13,-6,-11,-9,-7,-9,-2,-5,-6,-8,-9
  └─ Profit for PE,-14,-18,-13,-6,-11,-9,-7,-9,-2,-5,-6,-8,-9
  └─ Profit for EPS,-13,-18,-13,-7,-11,-9,-7,-9,-2,-5,-6,-8,-9
  └─ YOY Profit Growth %,,,,,24%,52%,46%,-31%,78%,43%,8%,3%,-278%
EPS in Rs,-4.09,-5.34,-3.85,-2.26,-3.33,-2.58,-2.08,-2.58,-0.75,-1.47,-1.92,-2.52,-2.82
Raw PDF,,,,,,,,,,,,,
