Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales,74,65,57,58,77,80,45,52,59,51,11,0,9
  └─ YOY Sales Growth %,-33%,-25%,306%,40%,5%,24%,-22%,-11%,-24%,-36%,-76%,-100%,-85%
Expenses,66,57,54,61,73,78,60,65,70,64,21,-6,15
  └─ Material Cost %,43%,32%,37%,46%,42%,44%,62%,54%,60%,52%,105%,,73%
  └─ Employee Cost %,9%,11%,12%,12%,9%,9%,15%,14%,12%,25%,37%,,30%
Operating Profit,8,7,3,-3,4,2,-15,-13,-11,-13,-10,6,-6
OPM %,10%,11%,4%,-4%,6%,2%,-34%,-24%,-19%,-26%,-95%,,-63%
Other Income,0,0,1,0,0,0,0,0,0,-32,-1,-6,0
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.74,-9.33,-6.45,0.00
  └─ Other income normal,0.29,0.30,0.93,0.12,0.07,0.06,0.31,0.34,0.38,0.27,8.63,0.24,0.25
Interest,15,15,17,17,19,20,20,21,22,17,21,22,20
Depreciation,6,6,6,6,6,6,6,6,6,5,5,5,5
Profit before tax,-13,-14,-19,-25,-20,-24,-40,-39,-39,-68,-37,-28,-31
Tax %,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%
Net Profit,-13,-14,-19,-25,-20,-24,-40,-39,-39,-68,-37,-28,-31
  └─ Profit from Associates,-0.01,-0.01,-0.01,0.00,-0.01,-0.01,-0.01,0.00,-0.01,-0.01,-0.01,0.00,-0.01
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.72,-9.33,-6.41,0.00
  └─ Profit excl Excep,-13.31,-13.67,-19.34,-25.27,-19.83,-23.70,-40.49,-38.57,-38.63,-34.87,-27.56,-21.73,-30.66
  └─ Profit for PE,-13.31,-13.67,-19.34,-25.27,-19.83,-23.70,-40.49,-38.57,-38.63,-34.87,-27.56,-21.73,-30.66
  └─ Profit for EPS,-13.31,-13.67,-19.34,-25.27,-19.83,-23.70,-40.49,-38.57,-38.63,-67.59,-36.89,-28.14,-30.66
  └─ YOY Profit Growth %,-157.45%,-11.59%,-14.98%,-41.41%,-48.99%,-73.37%,-109.36%,-52.63%,-94.81%,-47.13%,31.93%,43.66%,20.63%
EPS in Rs,-3.67,-3.77,-5.33,-6.96,-5.46,-6.53,-11.15,-10.63,-10.64,-18.62,-10.16,-7.75,-8.45
Raw PDF,,,,,,,,,,,,,
