Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,92,127,99,135,141,172
Expenses,86,112,95,131,138,170
  └─ Employee Cost %,7.55%,5.97%,8.16%,5.88%,5.75%,4.85%
Operating Profit,6,15,4,4,3,2
OPM %,6%,12%,4%,3%,2%,1%
Other Income,3,3,3,3,3,4
  └─ Other income normal,2.76,3.05,2.72,2.84,3.18,3.79
Interest,0,1,0,0,0,1
Depreciation,1,1,1,1,1,3
Profit before tax,8,16,5,5,5,2
Tax %,20%,27%,26%,-28%,25%,60%
Net Profit,6,11,4,10,3,1
  └─ Profit from Associates,0.00,-0.53,0.04,3.77,-0.04,0.04
  └─ Minority share,0.00,-0.09,-0.18,-0.15,-0.30,-0.07
  └─ Profit excl Excep,6.28,11.36,3.76,10.37,3.45,0.68
  └─ Profit for PE,6.28,11.27,3.58,10.22,3.15,0.61
  └─ Profit for EPS,6.28,11.27,3.58,10.22,3.15,0.61
EPS in Rs,2.57,4.61,1.47,4.18,1.29,0.25
Raw PDF,,,,,,
