Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,216.45,137.73,158.69,152.38,153.43,146.18,185.22,175.10,172.03
  └─ YOY Sales Growth %,,,,,-29.12%,6.14%,16.72%,14.91%,12.12%
Expenses,208.12,129.44,147.16,140.45,142.27,132.82,172.55,161.20,162.66
  └─ Material Cost %,90%,87%,86%,85%,86%,86%,88%,87%,91%
  └─ Employee Cost %,1%,2%,2%,2%,2%,2%,2%,2%,1%
Operating Profit,8.33,8.29,11.53,11.93,11.16,13.36,12.67,13.90,9.37
OPM %,3.85%,6.02%,7.27%,7.83%,7.27%,9.14%,6.84%,7.94%,5.45%
Other Income,0.00,0.18,0.24,0.31,0.28,0.43,3.78,0.17,-0.07
  └─ Other income normal,0.00,0.18,0.24,0.31,0.28,0.43,3.78,0.17,-0.07
Interest,2.38,2.82,1.99,2.15,2.71,2.40,2.71,2.16,2.80
Depreciation,3.20,3.16,3.16,3.28,3.40,3.40,3.40,3.48,2.97
Profit before tax,2.75,2.49,6.62,6.81,5.33,7.99,10.34,8.43,3.53
Tax %,104.73%,-51.41%,24.92%,25.70%,26.83%,25.78%,26.40%,42.11%,-100.00%
Net Profit,-0.13,3.77,4.96,5.05,3.90,5.93,7.60,4.88,7.06
  └─ Profit excl Excep,-0,4,5,5,4,6,8,5,7
  └─ Profit for PE,-0,4,5,5,4,6,8,5,7
  └─ Profit for EPS,-0,4,5,5,4,6,8,5,7
  └─ YOY Profit Growth %,,,,,3100%,57%,53%,-3%,81%
EPS in Rs,-0.01,0.16,0.22,0.22,0.17,0.26,0.33,0.21,0.31
Raw PDF,,,,,,,,,
