Metric,Jun 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,42.04,79.54,73.66,66.17,73.37,134.53,110.51,103.21,129.19,258.40
  └─ YOY Sales Growth %,,,75%,,,69%,50%,56%,76%,92%
Expenses,40.97,77.75,70.92,62.95,69.95,128.88,107.12,100.33,124.72,248.85
  └─ Material Cost %,88%,85%,86%,87%,92%,94%,96%,96%,95%,95%
  └─ Employee Cost %,1%,1%,1%,1%,2%,0%,0%,0%,0%,0%
Operating Profit,1.07,1.79,2.74,3.22,3.42,5.65,3.39,2.88,4.47,9.55
OPM %,2.55%,2.25%,3.72%,4.87%,4.66%,4.20%,3.07%,2.79%,3.46%,3.70%
Other Income,0.66,1.14,0.62,0.22,0.16,0.34,0.09,0.88,0.78,-0.09
  └─ Other income normal,0.66,1.14,0.62,0.22,0.16,0.34,0.09,0.88,0.78,-0.09
Interest,0.84,0.84,0.76,0.94,0.81,3.38,0.92,1.17,1.52,1.50
Depreciation,0.30,0.51,0.41,0.41,0.38,0.35,0.30,0.38,0.46,0.67
Profit before tax,0.59,1.58,2.19,2.09,2.39,2.26,2.26,2.21,3.27,7.29
Tax %,28.81%,31.65%,8.22%,1.91%,12.97%,60.62%,26.55%,38.91%,19.27%,8.78%
Net Profit,0.41,1.08,2.00,2.05,2.08,0.89,1.66,1.35,2.65,6.65
  └─ Minority share,0,0,-0,0,-0,-0,-0,-0,-0,-0
  └─ Profit excl Excep,0,1,2,2,2,1,2,1,3,7
  └─ Profit for PE,0,1,2,2,2,1,2,1,3,6
  └─ Profit for EPS,0,1,2,2,2,1,2,1,3,6
  └─ YOY Profit Growth %,,,385%,,,-20%,-20%,-37%,28%,644%
EPS in Rs,0.01,0.02,0.03,0.03,0.03,0.01,0.03,0.02,0.04,0.10
Raw PDF,,,,,,,,,,
