Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,668,749,814,745,823,733,748,840,906,846,907,943,925
  └─ YOY Sales Growth %,-3.51%,6.99%,-2.38%,7.59%,23.09%,-2.06%,-8.17%,12.75%,10.09%,15.30%,21.26%,12.31%,2.10%
Expenses,600,687,744,669,758,662,672,768,814,760,825,860,820
  └─ Material Cost %,61%,62%,62%,61%,63%,60%,58%,62%,58%,57%,60%,60%,54%
  └─ Employee Cost %,12%,11%,10%,10%,10%,10%,11%,11%,10%,11%,11%,11%,10%
Operating Profit,68,62,70,76,65,72,75,72,92,86,81,83,105
OPM %,10%,8%,9%,10%,8%,10%,10%,9%,10%,10%,9%,9%,11%
Other Income,2,12,6,6,16,7,6,16,7,8,13,16,9
  └─ Other income normal,2.38,11.79,5.91,6.13,16.48,7.44,5.92,16.47,7.25,8.33,13.16,15.96,8.90
Interest,23,28,30,31,26,27,28,31,34,35,34,34,34
Depreciation,17,16,17,18,16,17,17,17,18,19,19,22,25
Profit before tax,31,29,30,33,39,35,36,40,48,40,41,43,55
Tax %,22%,26%,25%,23%,26%,25%,25%,23%,24%,20%,21%,22%,26%
Net Profit,24,22,22,25,29,26,27,30,36,32,32,34,41
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,-0.15,-0.08
  └─ Minority share,-0.51,0.00,0.17,0.02,-0.20,0.00,-0.02,-0.01,-0.15,-0.02,0.00,0.00,0.00
  └─ Profit excl Excep,23.85,21.81,22.36,25.37,28.81,26.40,26.87,30.46,35.72,31.96,32.28,33.55,41.04
  └─ Profit for PE,23.34,21.81,22.53,25.39,28.61,26.40,26.85,30.45,35.57,31.94,32.28,33.55,41.04
  └─ Profit for EPS,23.34,21.81,22.53,25.39,28.61,26.40,26.85,30.45,35.57,31.94,32.28,33.55,41.04
  └─ YOY Profit Growth %,41.11%,54.90%,35.15%,19.03%,22.58%,21.05%,19.17%,19.93%,24.33%,20.98%,20.22%,10.18%,15.38%
EPS in Rs,1.73,1.62,1.67,1.88,2.12,1.96,1.99,2.26,2.64,2.37,2.39,2.49,3.04
Raw PDF,,,,,,,,,,,,,
