Metric,Jun 2013,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019
Revenue,1.48,24.22,7.35,14.25,81.01,12.34,5.55,8.84
  └─ YOY Sales Growth %,,,,,,-49.05%,-24.49%,-37.96%
Interest,0.83,2.17,2.42,1.88,3.82,1.74,1.65,1.53
Expenses,0.34,19.11,15.43,3.80,67.28,8.45,4.70,4.00
  └─ Material Cost %,12.16%,62.30%,156.87%,4.35%,74.69%,42.79%,23.24%,11.43%
  └─ Employee Cost %,6.08%,8.59%,26.67%,13.19%,4.00%,12.40%,25.59%,17.65%
Financing Profit,0.31,2.94,-10.50,8.57,9.91,2.15,-0.80,3.31
Financing Margin %,20.95%,12.14%,-142.86%,60.14%,12.23%,17.42%,-14.41%,37.44%
Other Income,0.01,1.39,2.31,1.62,1.25,1.10,1.27,0.93
  └─ Other income normal,0.01,1.39,2.31,1.62,1.25,1.10,1.27,0.93
Depreciation,0.03,0.33,1.80,1.86,2.83,1.71,1.79,1.91
Profit before tax,0.29,4.00,-9.99,8.33,8.33,1.54,-1.32,2.33
Tax %,0.00%,30.50%,3.90%,4.80%,13.45%,33.77%,45.45%,15.88%
Net Profit,0.29,2.78,-10.39,7.93,7.22,1.03,-1.92,1.96
  └─ Minority share,0,-0,5,-3,-3,0,2,-0
  └─ Profit excl Excep,0,3,-10,8,7,1,-2,2
  └─ Profit for PE,0,3,-5,5,4,1,-0,1
  └─ Profit for EPS,0,3,-5,5,4,1,-0,1
  └─ YOY Profit Growth %,,,,,,-48%,95%,-71%
EPS in Rs,0.48,1.31,-2.56,2.65,2.32,0.68,-0.14,0.76
Gross NPA %,,,,,,,,
Net NPA %,,,,,,,,
Raw PDF,,,,,,,,
