Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,118.01,120.42,120.55,122.99,121.50,123.24,125.57,128.34,130.04,128.99,132.51,136.67,136.05
  └─ YOY Sales Growth %,14.07%,12.80%,9.86%,0.45%,2.96%,2.34%,4.16%,4.35%,7.03%,4.67%,5.53%,6.49%,4.62%
Expenses,113.92,115.60,115.71,118.02,116.65,118.48,120.97,123.96,126.38,124.17,128.46,132.77,132.05
  └─ Material Cost %,62%,62%,62%,63%,63%,63%,63%,64%,64%,64%,64%,64%,64%
  └─ Employee Cost %,5%,4%,3%,3%,2%,2%,2%,2%,2%,1%,1%,1%,1%
Operating Profit,4.09,4.82,4.84,4.97,4.85,4.76,4.60,4.38,3.66,4.82,4.05,3.90,4.00
OPM %,3.47%,4.00%,4.01%,4.04%,3.99%,3.86%,3.66%,3.41%,2.81%,3.74%,3.06%,2.85%,2.94%
Other Income,1.75,1.83,1.44,1.59,2.51,0.77,0.60,0.09,0.12,0.08,0.06,0.03,0.23
  └─ Other income normal,1.75,1.83,1.44,1.59,2.51,0.77,0.60,0.09,0.12,0.08,0.06,0.03,0.23
Interest,2.82,2.88,2.98,2.86,3.16,1.61,0.32,0.31,0.32,0.33,0.25,0.26,0.31
Depreciation,0.27,0.25,0.25,0.24,0.23,0.22,0.21,0.24,0.18,0.18,0.18,0.17,0.16
Profit before tax,2.75,3.52,3.05,3.46,3.97,3.70,4.67,3.92,3.28,4.39,3.68,3.50,3.76
Tax %,11.27%,21.02%,19.67%,35.55%,40.55%,-0.27%,16.06%,31.12%,28.35%,6.38%,7.61%,25.43%,16.22%
Net Profit,2.45,2.77,2.45,2.22,2.36,3.71,3.92,2.70,2.35,4.10,3.41,2.62,3.15
  └─ Profit excl Excep,2.45,2.77,2.45,2.22,2.36,3.71,3.92,2.70,2.35,4.10,3.41,2.62,3.15
  └─ Profit for PE,2.45,2.77,2.45,2.22,2.36,3.71,3.92,2.70,2.35,4.10,3.41,2.62,3.15
  └─ Profit for EPS,2.45,2.77,2.45,2.22,2.36,3.71,3.92,2.70,2.35,4.10,3.41,2.62,3.15
  └─ YOY Profit Growth %,-2.39%,67.88%,-4.67%,27.59%,-3.67%,33.94%,60.00%,21.62%,-0.42%,10.51%,-13.01%,-2.96%,34.04%
EPS in Rs,1.66,1.88,1.66,1.51,1.45,2.27,2.40,1.66,1.44,2.51,2.09,1.61,1.93
Raw PDF,,,,,,,,,,,,,
