Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,255,353,347,456,312,440,487,652
  └─ YOY Sales Growth %,,,,,22.31%,24.75%,40.26%,42.98%
Expenses,230,320,317,428,280,393,433,588
  └─ Material Cost %,-35.91%,7.03%,-30.58%,0.18%,-20.63%,30.98%,-55.14%,-3.63%
  └─ Employee Cost %,5.31%,3.28%,7.72%,5.53%,7.14%,5.09%,5.53%,5.07%
Operating Profit,26,33,31,28,32,47,54,63
OPM %,10%,9%,9%,6%,10%,11%,11%,10%
Other Income,2,3,1,3,3,0,1,1
  └─ Other income normal,1.99,3.02,1.33,2.92,2.85,0.24,0.61,0.63
Interest,10,10,9,10,11,8,9,14
Depreciation,2,2,2,3,2,2,3,3
Profit before tax,16,24,21,18,22,36,43,46
Tax %,23%,2%,9%,18%,18%,10%,10%,9%
Net Profit,12,23,19,15,19,33,39,42
  └─ Profit excl Excep,12,23,19,15,19,33,39,42
  └─ Profit for PE,12,23,19,15,19,33,39,42
  └─ Profit for EPS,12,23,19,15,19,33,39,42
  └─ YOY Profit Growth %,,,,,52%,42%,103%,186%
EPS in Rs,3131.44,5943.30,1.96,1.52,1.91,2.86,3.39,3.70
Raw PDF,,,,,,,,
