Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,92.63,118.64,133.98,204.65,138.38,146.08,180.30,242.00,128.25,100.64
  └─ YOY Sales Growth %,,,,,49.39%,23.13%,34.57%,18.25%,-7.32%,-31.11%
Expenses,90.73,116.82,132.03,202.98,136.32,144.93,175.01,244.17,126.94,98.65
  └─ Material Cost %,96%,96%,97%,98%,97%,97%,91%,93%,96%,95%
  └─ Employee Cost %,1%,0%,0%,0%,0%,0%,0%,0%,1%,1%
Operating Profit,1.90,1.82,1.95,1.67,2.06,1.15,5.29,-2.17,1.31,1.99
OPM %,2.05%,1.53%,1.46%,0.82%,1.49%,0.79%,2.93%,-0.90%,1.02%,1.98%
Other Income,-0.19,0.04,0.01,0.01,0.03,0.26,0.39,0.27,0.37,0.66
  └─ Other income normal,-0.19,0.04,0.01,0.01,0.03,0.26,0.39,0.27,0.37,0.66
Interest,0.30,0.29,0.44,0.66,0.40,0.44,0.66,0.67,0.64,1.16
Depreciation,0.49,0.48,0.37,0.39,0.42,0.43,0.32,0.34,0.35,0.34
Profit before tax,0.92,1.09,1.15,0.63,1.27,0.54,4.70,-2.91,0.69,1.15
Tax %,26.09%,24.77%,25.22%,23.81%,25.20%,22.22%,24.68%,-24.40%,30.43%,29.57%
Net Profit,0.69,0.82,0.85,0.47,0.94,0.42,3.53,-2.20,0.48,0.81
  └─ Profit excl Excep,1,1,1,0,1,0,4,-2,0,1
  └─ Profit for PE,1,1,1,0,1,0,4,-2,0,1
  └─ Profit for EPS,1,1,1,0,1,0,4,-2,0,1
  └─ YOY Profit Growth %,,,,,36%,-49%,315%,-568%,-49%,93%
EPS in Rs,0.49,0.58,0.60,0.33,0.66,0.30,2.49,-1.55,0.34,0.49
Raw PDF,,,,,,,,,,
