Metric,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ YOY Sales Growth %,-100.00%,-100.00%,,,,,,,,,,,
Expenses,0.00,0.11,0.19,0.05,0.04,0.03,0.03,0.05,0.00,0.02,0.07,0.05,0.02
Operating Profit,0.00,-0.11,-0.19,-0.05,-0.04,-0.03,-0.03,-0.05,0.00,-0.02,-0.07,-0.05,-0.02
OPM %,,,,,,,,,,,,,
Other Income,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.02,0.01,0.02,0.05,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.00
Profit before tax,-0.02,-0.12,-0.21,-0.07,-0.04,-0.03,-0.03,-0.06,0.00,-0.03,-0.08,-0.06,-0.02
Tax %,0.00%,0.00%,-4.76%,-14.29%,0.00%,0.00%,0.00%,0.00%,,0.00%,-12.50%,0.00%,0.00%
Net Profit,-0.02,-0.11,-0.19,-0.07,-0.04,-0.03,-0.04,-0.05,0.00,-0.03,-0.07,-0.05,-0.02
  └─ Minority share,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,-0.02,-0.11,-0.19,-0.07,-0.04,-0.03,-0.04,-0.05,0.00,-0.03,-0.07,-0.05,-0.02
  └─ Profit for PE,-0.02,-0.10,-0.19,-0.07,-0.04,-0.02,-0.04,-0.05,0.00,-0.03,-0.07,-0.05,-0.02
  └─ Profit for EPS,-0.02,-0.10,-0.19,-0.07,-0.04,-0.02,-0.04,-0.05,0.00,-0.03,-0.07,-0.05,-0.02
  └─ YOY Profit Growth %,89.46%,-11.11%,-850.00%,82.05%,-100.00%,80.00%,78.95%,28.57%,100.00%,-50.00%,-75.00%,0.00%,
EPS in Rs,-0.03,-0.14,-0.26,-0.10,-0.06,-0.03,-0.06,-0.07,0.00,-0.04,-0.10,-0.07,-0.03
Raw PDF,,,,,,,,,,,,,
