Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,1391,1510,1630,1698,1905,1948,2057,2130,2175
  └─ YOY Sales Growth %,,,,,36.93%,28.96%,26.25%,25.42%,14.19%
Interest,847,975,1030,1032,1104,1218,1213,1233,1241
Expenses,56,51,131,119,171,427,138,179,309
  └─ Employee Cost %,1.37%,1.31%,1.28%,1.15%,1.13%,1.09%,1.26%,1.36%,1.35%
Financing Profit,488,484,469,548,630,303,706,718,626
Financing Margin %,35%,32%,29%,32%,33%,16%,34%,34%,29%
Other Income,0,0,1,1,11,12,1,10,6
  └─ Other income normal,0.39,0.43,0.83,0.53,10.58,12.24,0.57,9.73,5.95
Depreciation,9,9,9,10,11,10,10,11,13
Profit before tax,480,476,460,538,630,305,696,717,619
Tax %,30%,19%,16%,21%,20%,19%,21%,18%,20%
Net Profit,337,384,388,425,502,247,549,585,493
  └─ Profit excl Excep,337,384,388,425,502,247,549,585,493
  └─ Profit for PE,337,384,388,425,502,247,549,585,493
  └─ Profit for EPS,337,384,388,425,502,247,549,585,493
  └─ YOY Profit Growth %,,,,,49%,-36%,42%,38%,-2%
EPS in Rs,1.26,1.43,1.44,1.58,1.87,0.88,1.96,2.08,1.75
Gross NPA %,,2.19%,,,,4.13%,,,
Net NPA %,,0.95%,,,,2.06%,,,
Raw PDF,,,,,,,,,
