Metric,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020
Sales,61.59,156.33,109.54,139.69,96.00,157.02,46.72,0.70,0.54,0.57,0.47,1.68,0.33
  └─ YOY Sales Growth %,,137.98%,27.03%,77.93%,55.87%,0.44%,-57.35%,,,,,140.00%,-38.89%
Expenses,61.52,156.37,109.21,139.45,95.56,157.16,46.62,1.48,1.04,0.85,0.97,2.23,0.68
  └─ Material Cost %,100%,100%,100%,100%,100%,100%,99%,81%,83%,46%,66%,109%,21%
  └─ Employee Cost %,0%,0%,0%,0%,0%,0%,0%,83%,72%,77%,121%,13%,121%
Operating Profit,0.07,-0.04,0.33,0.24,0.44,-0.14,0.10,-0.78,-0.50,-0.28,-0.50,-0.55,-0.35
OPM %,0.11%,-0.03%,0.30%,0.17%,0.46%,-0.09%,0.21%,-111.43%,-92.59%,-49.12%,-106.38%,-32.74%,-106.06%
Other Income,0.11,0.24,0.14,0.15,0.40,0.39,0.42,0.52,0.06,0.42,0.01,1.06,-2.86
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00
  └─ Other income normal,0.11,0.24,0.14,0.15,0.40,0.39,0.42,0.52,0.06,0.42,0.01,1.06,0.14
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.17,0.11,0.11,0.11,0.11,0.11,0.08,0.05,0.04,0.02,0.03,0.08,0.03
Profit before tax,0.01,0.09,0.36,0.28,0.73,0.14,0.44,-0.31,-0.48,0.12,-0.52,0.43,-3.24
Tax %,0.00%,400.00%,0.00%,0.00%,0.00%,464.29%,0.00%,9.68%,0.00%,25.00%,0.00%,0.00%,0.00%
Net Profit,0.01,-0.27,0.36,0.28,0.73,-0.52,0.44,-0.34,-0.48,0.09,-0.52,0.43,-3.24
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,-3
  └─ Profit excl Excep,0,-0,0,0,1,-1,0,-0,-0,0,-1,0,-0
  └─ Profit for PE,0,-0,0,0,1,-1,0,-0,-0,0,-1,0,-0
  └─ Profit for EPS,0,-0,0,0,1,-1,0,-0,-0,0,-1,0,-3
  └─ YOY Profit Growth %,,73%,-31%,-36%,7200%,-93%,22%,,,,,226%,50%
EPS in Rs,0.00,-0.09,0.12,0.10,0.25,-0.18,0.15,-0.12,-0.17,0.03,-0.18,0.15,-1.12
Raw PDF,,,,,,,,,,,,,
