Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,36.86,31.94,39.90,44.15,40.93,51.65,46.39,45.64,42.94,50.69,49.08,57.15
  └─ YOY Sales Growth %,,,,,11.04%,61.71%,16.27%,3.37%,4.91%,-1.86%,5.80%,25.22%
Expenses,35.27,29.67,33.25,38.18,38.49,45.43,39.99,42.66,37.25,43.91,46.06,51.42
  └─ Material Cost %,91%,87%,79%,82%,90%,84%,82%,87%,83%,83%,89%,86%
  └─ Employee Cost %,2%,3%,2%,2%,2%,2%,2%,3%,3%,2%,2%,2%
Operating Profit,1.59,2.27,6.65,5.97,2.44,6.22,6.40,2.98,5.69,6.78,3.02,5.73
OPM %,4.31%,7.11%,16.67%,13.52%,5.96%,12.04%,13.80%,6.53%,13.25%,13.38%,6.15%,10.03%
Other Income,0.20,0.08,0.07,0.15,0.03,0.09,0.26,0.39,0.05,0.03,0.14,0.32
  └─ Other income normal,0.20,0.08,0.07,0.15,0.03,0.09,0.26,0.39,0.05,0.03,0.14,0.32
Interest,0.16,0.20,0.51,0.30,0.16,0.16,0.59,0.29,0.17,0.20,0.23,0.50
Depreciation,0.07,0.07,0.14,0.94,0.42,0.45,0.44,0.45,0.41,0.46,0.47,0.51
Profit before tax,1.56,2.08,6.07,4.88,1.89,5.70,5.63,2.63,5.16,6.15,2.46,5.04
Tax %,28.85%,28.85%,29.00%,31.56%,29.10%,29.12%,28.95%,29.28%,29.46%,29.27%,27.24%,31.94%
Net Profit,1.11,1.48,4.31,3.33,1.34,4.04,3.99,1.86,3.63,4.35,1.79,3.43
  └─ Profit excl Excep,1,1,4,3,1,4,4,2,4,4,2,3
  └─ Profit for PE,1,1,4,3,1,4,4,2,4,4,2,3
  └─ Profit for EPS,1,1,4,3,1,4,4,2,4,4,2,3
  └─ YOY Profit Growth %,,,,,21%,173%,-7%,-44%,171%,8%,-55%,84%
EPS in Rs,0.02,0.03,0.09,0.07,0.03,0.08,0.08,0.04,0.07,0.09,0.04,0.07
Raw PDF,,,,,,,,,,,,
