Metric,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,115.71,96.83,100.58,149.46,167.20,149.98
  └─ YOY Sales Growth %,,,,,44%,55%
Expenses,113.46,97.73,98.05,146.38,162.96,158.19
  └─ Material Cost %,95%,97%,94%,96%,95%,104%
  └─ Employee Cost %,0%,0%,0%,0%,0%,0%
Operating Profit,2.25,-0.90,2.53,3.08,4.24,-8.21
OPM %,1.94%,-0.93%,2.52%,2.06%,2.54%,-5.47%
Other Income,0.11,0.25,0.00,0.27,0.13,-0.33
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-0.44
  └─ Other income normal,0.11,0.25,0.00,0.27,0.13,0.11
Interest,0.05,0.02,0.00,0.01,0.02,0.01
Depreciation,0.14,0.03,0.11,0.12,0.19,0.01
Profit before tax,2.17,-0.70,2.42,3.22,4.16,-8.56
Tax %,0.00%,292.86%,26.45%,18.94%,31.73%,-27.80%
Net Profit,2.17,-2.76,1.78,2.62,2.84,-6.18
  └─ Exceptional items AT,0,0,0,0,0,-0
  └─ Profit excl Excep,2,-3,2,3,3,-6
  └─ Profit for PE,2,-3,2,3,3,-6
  └─ Profit for EPS,2,-3,2,3,3,-6
  └─ YOY Profit Growth %,,,,,31%,-108%
EPS in Rs,0.18,-0.23,0.15,0.22,0.24,-0.52
Raw PDF,,,,,,
