Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,99,101,105,113
Expenses,85,88,90,100
  └─ Material Cost %,58%,58%,54%,57%
  └─ Employee Cost %,12%,10%,13%,13%
Operating Profit,14,13,15,13
OPM %,14%,13%,14%,11%
Other Income,2,1,4,3
  └─ Exceptional items,-0.09,0.00,0.00,0.00
  └─ Other income normal,2.35,0.80,3.71,3.28
Interest,5,5,6,8
Depreciation,3,3,3,4
Profit before tax,8,6,9,4
Tax %,23%,32%,19%,38%
Net Profit,6,4,8,3
  └─ Exceptional items AT,-0.07,0.00,0.00,0.00
  └─ Profit excl Excep,6.45,4.05,7.56,2.77
  └─ Profit for PE,6.45,4.05,7.56,2.77
  └─ Profit for EPS,6.38,4.05,7.56,2.77
EPS in Rs,4.40,2.08,3.88,1.42
Raw PDF,,,,
