Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,98.49,76.36,82.02,54.91,65.92,160.49,104.45
  └─ YOY Sales Growth %,,,,,-33.07%,110.18%,27.35%
Expenses,77.86,65.19,70.76,51.01,54.71,140.26,93.50
  └─ Material Cost %,68%,65%,71%,73%,61%,74%,77%
  └─ Employee Cost %,5%,7%,8%,12%,12%,5%,7%
Operating Profit,20.63,11.17,11.26,3.90,11.21,20.23,10.95
OPM %,20.95%,14.63%,13.73%,7.10%,17.01%,12.61%,10.48%
Other Income,0.46,0.81,0.26,0.83,1.52,1.35,2.16
  └─ Other income normal,0.46,0.81,0.26,0.83,1.52,1.35,2.16
Interest,1.71,1.19,1.31,1.58,0.88,0.75,1.35
Depreciation,0.74,0.78,0.81,0.65,0.75,0.77,1.05
Profit before tax,18.64,10.01,9.40,2.50,11.10,20.06,10.71
Tax %,25.38%,25.57%,27.98%,27.20%,25.50%,25.67%,25.77%
Net Profit,13.91,7.45,6.78,1.83,8.27,14.91,7.95
  └─ Minority share,0.09,0.17,0.01,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,13.91,7.45,6.78,1.83,8.27,14.91,7.95
  └─ Profit for PE,14.00,7.62,6.79,1.83,8.27,14.91,7.95
  └─ Profit for EPS,14.00,7.62,6.79,1.83,8.27,14.91,7.95
  └─ YOY Profit Growth %,,,,,-40.93%,95.67%,17.08%
EPS in Rs,3.27,1.78,1.58,0.31,1.40,2.53,1.35
Raw PDF,,,,,,,
