Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,107.08,116.79,139.75,132.10,111.95,94.57,126.86,274.63
  └─ YOY Sales Growth %,,,,,5%,-19%,-9%,108%
Expenses,98.60,115.51,133.32,116.97,100.42,101.59,118.82,261.12
  └─ Material Cost %,-2.51%,-15.05%,-1.57%,4.28%,-5.91%,-5.14%,-9.65%,3.03%
  └─ Employee Cost %,2.43%,2.26%,2.04%,2.10%,2.29%,2.52%,3.53%,1.73%
Operating Profit,8.48,1.28,6.43,15.13,11.53,-7.02,8.04,13.51
OPM %,7.92%,1.10%,4.60%,11.45%,10.30%,-7.42%,6.34%,4.92%
Other Income,0.37,2.61,2.26,3.53,0.52,20.74,1.58,2.58
  └─ Other income normal,0.37,2.61,2.26,3.53,0.52,20.74,1.58,2.58
Interest,1.79,0.83,2.74,2.07,1.77,0.46,1.14,2.98
Depreciation,0.64,1.16,0.01,0.58,0.57,0.61,0.61,0.72
Profit before tax,6.42,1.90,5.94,16.01,9.71,12.65,7.87,12.39
Tax %,34.42%,17.37%,21.72%,25.23%,25.85%,23.64%,20.58%,29.86%
Net Profit,4.21,1.57,4.66,11.96,7.19,9.67,6.26,8.69
  └─ Minority share,-1.08,-0.19,-1.39,-0.07,0.06,-0.08,0.15,0.13
  └─ Profit excl Excep,4.21,1.57,4.66,11.96,7.19,9.67,6.26,8.69
  └─ Profit for PE,3.13,1.38,3.27,11.89,7.25,9.59,6.41,8.82
  └─ Profit for EPS,3.13,1.38,3.27,11.89,7.25,9.59,6.41,8.82
  └─ YOY Profit Growth %,,,,,131.63%,594.93%,96.02%,-25.82%
EPS in Rs,3.25,0.24,0.57,2.06,1.25,1.34,0.89,1.23
Raw PDF,,,,,,,,
