Metric,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Sales,3.38,2.81,2.17,1.91,1.80,1.91,2.83,2.06,2.48,2.45,2.22,2.55,2.21
  └─ YOY Sales Growth %,-8.15%,-9.65%,-25.43%,-46.65%,-46.75%,-32.03%,30.41%,7.85%,37.78%,28.27%,-21.55%,23.79%,-10.89%
Expenses,3.38,2.81,4.69,2.60,1.85,2.61,3.11,2.87,2.37,3.51,1.93,2.99,2.14
  └─ Employee Cost %,14.50%,16.37%,24.42%,18.32%,28.89%,24.08%,16.61%,29.61%,29.44%,26.53%,1.80%,22.35%,15.84%
Operating Profit,0.00,0.00,-2.52,-0.69,-0.05,-0.70,-0.28,-0.81,0.11,-1.06,0.29,-0.44,0.07
OPM %,0.00%,0.00%,-116.13%,-36.13%,-2.78%,-36.65%,-9.89%,-39.32%,4.44%,-43.27%,13.06%,-17.25%,3.17%
Other Income,0.04,0.06,0.70,0.01,1.26,0.01,-0.14,0.75,0.15,0.07,0.24,0.25,0.53
  └─ Other income normal,0.04,0.06,0.70,0.01,1.26,0.01,-0.14,0.75,0.15,0.07,0.24,0.25,0.53
Interest,0.05,0.05,0.05,0.04,0.24,0.06,0.05,0.04,0.04,0.04,0.57,0.04,0.04
Depreciation,0.15,0.15,0.11,0.15,0.15,0.16,0.16,0.17,0.18,0.16,0.14,0.15,0.07
Profit before tax,-0.16,-0.14,-1.98,-0.87,0.82,-0.91,-0.63,-0.27,0.04,-1.19,-0.18,-0.38,0.49
Tax %,0.00%,0.00%,21.21%,0.00%,15.85%,0.00%,0.00%,0.00%,250.00%,-1.68%,5.56%,0.00%,40.82%
Net Profit,-0.16,-0.14,-2.39,-0.87,0.69,-0.91,-0.64,-0.27,-0.06,-1.18,-0.19,-0.37,0.29
  └─ Profit excl Excep,-0,-0,-2,-1,1,-1,-1,-0,-0,-1,-0,-0,0
  └─ Profit for PE,-0,-0,-2,-1,1,-1,-1,-0,-0,-1,-0,-0,0
  └─ Profit for EPS,-0,-0,-2,-1,1,-1,-1,-0,-0,-1,-0,-0,0
  └─ YOY Profit Growth %,-176%,-1300%,-110%,-318%,531%,-550%,73%,69%,-109%,-30%,70%,-37%,583%
EPS in Rs,-0.31,-0.27,-4.63,-1.68,1.34,-1.76,-1.24,-0.52,-0.12,-2.28,-0.37,-0.72,0.56
Raw PDF,,,,,,,,,,,,,
