Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,87,81,114,115,122,128,164,168,274,248,245,251,346
  └─ YOY Sales Growth %,61.07%,51.97%,116.08%,104.19%,39.47%,58.35%,43.78%,45.35%,125.23%,93.22%,49.78%,49.50%,26.27%
Expenses,84,77,106,110,120,120,149,137,245,220,213,207,307
  └─ Material Cost %,85.66%,86.63%,82.94%,86.16%,93.75%,83.02%,80.48%,63.29%,66.96%,76.99%,66.23%,71.58%,-15.45%
  └─ Employee Cost %,1.90%,1.79%,1.78%,2.87%,1.25%,1.23%,1.01%,1.95%,0.39%,0.85%,1.36%,1.40%,0.83%
Operating Profit,3,4,8,5,1,8,15,30,29,28,32,43,39
OPM %,4%,5%,7%,4%,1%,7%,9%,18%,10%,11%,13%,17%,11%
Other Income,0,0,0,3,5,1,10,1,1,3,4,1,10
  └─ Other income normal,0.34,0.00,0.09,2.99,4.70,1.37,9.62,1.23,0.81,3.25,4.48,1.03,9.88
Interest,1,1,1,1,2,2,4,6,5,5,6,6,9
Depreciation,1,1,1,1,1,1,1,1,0,1,1,3,2
Profit before tax,2,3,7,6,3,7,20,25,24,26,30,35,38
Tax %,29%,25%,26%,25%,23%,26%,25%,24%,35%,22%,26%,26%,22%
Net Profit,1,2,5,4,3,5,15,19,16,20,22,26,30
  └─ Minority share,0,0,0,0,0,0,0,-3,-1,-1,-2,-1,-3
  └─ Profit excl Excep,1,2,5,4,3,5,15,19,16,20,22,26,30
  └─ Profit for PE,1,2,5,4,3,5,15,16,15,19,20,25,27
  └─ Profit for EPS,1,2,5,4,3,5,15,16,15,19,20,25,27
  └─ YOY Profit Growth %,-56%,145%,203%,124%,102%,187%,179%,267%,455%,251%,38%,55%,84%
EPS in Rs,1.18,1.70,4.70,4.01,2.38,4.88,13.13,14.69,9.48,12.30,12.98,13.65,14.51
Raw PDF,,,,,,,,,,,,,
