Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,599,658,705,688,602,634,742
  └─ YOY Sales Growth %,,,,,0.40%,-3.76%,5.33%
Expenses,445,489,551,546,452,483,589
  └─ Material Cost %,28.64%,27.76%,32.62%,30.79%,23.22%,27.01%,33.96%
  └─ Employee Cost %,8.42%,8.78%,8.10%,9.46%,9.91%,9.44%,9.12%
Operating Profit,154,169,154,142,150,150,153
OPM %,26%,26%,22%,21%,25%,24%,21%
Other Income,12,16,37,34,5,-1,53
  └─ Exceptional items,0,0,0,0,0,-5,0
  └─ Other income normal,12,16,37,34,5,4,53
Interest,23,20,21,17,11,11,9
Depreciation,47,44,44,41,43,44,44
Profit before tax,96,121,126,118,101,94,153
Tax %,25%,25%,23%,25%,25%,24%,24%
Net Profit,72,91,97,89,76,71,115
  └─ Exceptional items AT,0,0,0,0,0,-4,0
  └─ Profit excl Excep,72,91,97,89,76,75,115
  └─ Profit for PE,72,91,97,89,76,75,115
  └─ Profit for EPS,72,91,97,89,76,71,115
  └─ YOY Profit Growth %,,,,,5%,-17%,19%
EPS in Rs,11.14,13.99,14.93,13.73,11.74,11.04,17.83
Raw PDF,,,,,,,
