Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025
Sales,20.02,23.60,16.40,20.42,21.35,17.85
Expenses,18.58,20.88,17.23,20.54,21.90,17.05
  └─ Material Cost %,2%,9%,5%,1%,168%,77%
  └─ Employee Cost %,14%,12%,12%,9%,9%,9%
Operating Profit,1.44,2.72,-0.83,-0.12,-0.55,0.80
OPM %,7.19%,11.53%,-5.06%,-0.59%,-2.58%,4.48%
Other Income,0.05,0.06,0.07,0.84,0.09,0.07
  └─ Other income normal,0.05,0.06,0.07,0.84,0.09,0.07
Interest,0.72,0.84,0.82,1.09,0.83,0.85
Depreciation,0.01,0.02,0.01,0.14,0.16,0.11
Profit before tax,0.76,1.92,-1.59,-0.51,-1.45,-0.09
Tax %,18.42%,29.17%,-25.79%,1.96%,-4.83%,0.00%
Net Profit,0.61,1.36,-1.17,-0.52,-1.38,-0.09
  └─ Profit excl Excep,0.61,1.36,-1.17,-0.52,-1.38,-0.09
  └─ Profit for PE,0.61,1.36,-1.17,-0.52,-1.38,-0.09
  └─ Profit for EPS,0.61,1.36,-1.17,-0.52,-1.38,-0.09
EPS in Rs,2.66,5.93,-3.72,-1.65,-4.39,-0.29
Raw PDF,,,,,,
