Metric,Mar 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Jun 2017,Sep 2017,Dec 2017
Revenue,0.00,7.01,1.66,0.32,4.89,7.12,0.27,0.18,0.16,0.15
  └─ YOY Sales Growth %,,,,,,1.57%,-83.73%,,,
Interest,0.00,0.26,0.19,-0.18,0.00,0.89,0.00,0.02,0.04,0.03
Expenses,0.00,5.49,1.49,0.35,4.84,5.76,0.16,0.15,0.24,0.13
  └─ Material Cost %,,54%,41%,331%,97%,9%,0%,0%,0%,0%
  └─ Employee Cost %,,5%,20%,-66%,2%,21%,52%,44%,100%,60%
Financing Profit,0.00,1.26,-0.02,0.15,0.05,0.47,0.11,0.01,-0.12,-0.01
Financing Margin %,,17.97%,-1.20%,46.88%,1.02%,6.60%,40.74%,5.56%,-75.00%,-6.67%
Other Income,0.00,0.01,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.02
  └─ Other income normal,0.00,0.01,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.02
Depreciation,0.00,0.10,0.10,-0.08,0.00,0.39,0.00,0.02,0.02,0.02
Profit before tax,0.00,1.17,-0.12,0.23,0.05,0.82,0.11,-0.01,-0.14,-0.01
Tax %,,4.27%,0.00%,0.00%,0.00%,26.83%,0.00%,0.00%,0.00%,100.00%
Net Profit,0.00,1.12,-0.12,0.23,0.05,0.06,0.11,-0.01,-0.13,-0.02
  └─ Minority share,0.00,0.00,0.09,-0.09,0.00,0.27,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,0.00,1.12,-0.12,0.23,0.05,0.06,0.11,-0.01,-0.13,-0.02
  └─ Profit for PE,0.00,1.12,-0.03,0.14,0.05,0.33,0.11,-0.01,-0.13,-0.02
  └─ Profit for EPS,0.00,1.12,-0.03,0.14,0.05,0.33,0.11,-0.01,-0.13,-0.02
  └─ YOY Profit Growth %,,,,,,-70.54%,466.67%,,,
EPS in Rs,,,,0.14,0.05,0.33,0.11,-0.01,-0.13,-0.02
Gross NPA %,,,,,,,,,,
Net NPA %,,,,,,,,,,
Raw PDF,,,,,,,,,,
