Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,746,780,756,781,742,743,732,745,818,1079,1169
  └─ YOY Sales Growth %,,,,,-0%,-5%,-3%,-5%,10%,45%,60%
Expenses,694,720,677,705,684,685,664,676,755,1021,1075
  └─ Material Cost %,72%,72%,71%,71%,71%,71%,69%,69%,69%,72%,70%
  └─ Employee Cost %,3%,3%,3%,3%,4%,3%,3%,3%,4%,3%,3%
Operating Profit,52,61,79,76,58,58,68,70,63,57,94
OPM %,7%,8%,10%,10%,8%,8%,9%,9%,8%,5%,8%
Other Income,6,2,10,7,4,5,3,2,7,4,6
  └─ Other income normal,5.87,1.57,9.50,6.63,3.73,5.44,2.98,2.11,7.04,4.24,6.01
Interest,5,6,5,5,5,5,2,5,18,36,37
Depreciation,11,11,11,11,11,12,12,12,18,31,32
Profit before tax,41,45,72,67,45,47,57,55,33,-5,31
Tax %,26%,23%,28%,25%,28%,27%,24%,27%,40%,-6%,31%
Net Profit,30,34,52,50,33,34,44,40,20,-5,22
  └─ Profit excl Excep,30,34,52,50,33,34,44,40,20,-5,22
  └─ Profit for PE,30,34,52,50,33,34,44,40,20,-5,22
  └─ Profit for EPS,30,34,52,50,33,34,44,40,20,-5,22
  └─ YOY Profit Growth %,,,,,8%,-0%,-16%,-19%,-38%,-114%,-51%
EPS in Rs,4.20,4.76,7.26,6.96,4.53,4.05,5.17,4.79,2.38,-0.57,2.56
Raw PDF,,,,,,,,,,,
