Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,16.30,22.68,16.70,21.00,31.37
  └─ YOY Sales Growth %,,,,28.83%,38.32%
Expenses,11.97,17.41,11.73,14.43,23.33
  └─ Material Cost %,59%,55%,55%,57%,61%
  └─ Employee Cost %,7%,5%,4%,3%,3%
Operating Profit,4.33,5.27,4.97,6.57,8.04
OPM %,26.56%,23.24%,29.76%,31.29%,25.63%
Other Income,0.22,0.23,1.29,0.61,1.09
  └─ Other income normal,0.22,0.23,1.29,0.61,1.09
Interest,0.03,0.09,0.18,0.04,0.09
Depreciation,0.09,0.10,0.08,0.13,0.18
Profit before tax,4.43,5.31,6.00,7.01,8.86
Tax %,24.83%,25.24%,27.50%,25.25%,25.96%
Net Profit,3.33,3.96,4.35,5.24,6.56
  └─ Profit excl Excep,3,4,4,5,7
  └─ Profit for PE,3,4,4,5,7
  └─ Profit for EPS,3,4,4,5,7
  └─ YOY Profit Growth %,,,,57%,66%
EPS in Rs,2.01,2.39,1.93,2.33,2.92
Raw PDF,,,,,
