Metric,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Dec 2022,Jun 2023,Dec 2023,Jun 2024,Dec 2024,Jun 2025,Dec 2025
Sales,297,339,358,384,491,601,676,781,859,,,,,,,
  └─ YOY Sales Growth %,,,,,37.75%,67.46%,29.62%,28.81%,,,14.45%,36.79%,46.89%,48.13%,30.84%,29.89%
Expenses,280,320,338,359,465,573,646,741,811,,,,,,,
  └─ Material Cost %,90%,90%,90%,89%,90%,91%,92%,90%,90%,,,,,,,
  └─ Employee Cost %,1%,1%,2%,1%,1%,1%,1%,1%,2%,,,,,,,
Operating Profit,17,19,19,25,27,29,30,39,48,,,,,,,
OPM %,6%,6%,5%,6%,5%,5%,4%,5%,6%,,,,,,,
Other Income,0,1,1,1,3,0,1,2,5,,,,,,,
  └─ Exceptional items,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,,,,,,,
  └─ Other income normal,0.33,0.82,0.53,0.57,0.64,0.50,1.25,2.00,4.68,,,,,,,
Interest,10,12,11,14,16,13,11,17,20,,,,,,,
Depreciation,2,2,2,3,3,3,3,3,3,,,,,,,
Profit before tax,5,6,7,9,10,13,17,21,30,,,,,,,
Tax %,35%,26%,29%,29%,23%,26%,26%,28%,26%,,,,,,,
Net Profit,3,4,5,6,8,10,13,15,22,,,,,,,
  └─ Minority share,0.00,0.00,-1.09,-1.04,-1.13,-2.11,-2.49,-3.19,-4.38,,,,,,,
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,,,,,,,
  └─ Profit excl Excep,3.18,4.28,4.82,6.14,6.20,9.67,12.73,15.21,21.76,,,,,,,
  └─ Profit for PE,3.18,4.28,3.73,5.10,5.31,7.56,10.24,12.02,17.38,,,,,,,
  └─ Profit for EPS,3.18,4.28,3.73,5.10,6.77,7.56,10.24,12.02,17.38,,,,,,,
EPS in Rs,1.59,2.15,1.64,2.24,2.97,3.32,4.19,4.92,7.11,,,,,,,
Raw PDF,,,,,,,,,,,,,,,,
