Metric,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020
Sales,32.87,57.71,29.26,35.13,40.17,39.82,36.22,38.73,38.66,36.41,29.73,36.29,36.68
  └─ YOY Sales Growth %,,-1.59%,,,22.21%,-31.00%,23.79%,10.25%,-3.76%,-8.56%,-17.92%,-6.30%,-5.12%
Expenses,26.41,51.55,23.96,29.86,33.51,34.53,30.52,32.09,34.77,30.31,25.08,32.82,32.97
  └─ Material Cost %,53%,71%,55%,62%,60%,59%,57%,54%,58%,53%,62%,60%,62%
  └─ Employee Cost %,10%,8%,10%,9%,8%,12%,11%,11%,11%,9%,8%,8%,10%
Operating Profit,6.46,6.16,5.30,5.27,6.66,5.29,5.70,6.64,3.89,6.10,4.65,3.47,3.71
OPM %,19.65%,10.67%,18.11%,15.00%,16.58%,13.28%,15.74%,17.14%,10.06%,16.75%,15.64%,9.56%,10.11%
Other Income,0.07,-0.64,0.06,0.26,0.32,0.65,0.16,0.43,2.20,0.26,0.21,1.06,0.94
  └─ Exceptional items,0.00,-1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34,0.00,0.00,0.00
  └─ Other income normal,0.07,0.60,0.06,0.26,0.32,0.65,0.16,0.43,2.20,-1.08,0.21,1.06,0.94
Interest,2.26,2.90,1.91,1.84,2.34,2.63,2.19,3.06,2.42,2.92,1.99,1.96,1.92
Depreciation,2.47,4.00,2.31,2.48,2.84,2.91,2.28,3.44,2.96,3.29,2.37,2.49,2.57
Profit before tax,1.80,-1.38,1.14,1.21,1.80,0.40,1.39,0.57,0.71,0.15,0.50,0.08,0.16
Tax %,0.00%,128.26%,0.00%,0.00%,0.00%,417.50%,0.00%,0.00%,0.00%,540.00%,0.00%,0.00%,0.00%
Net Profit,1.80,-3.15,1.15,1.21,1.80,-1.27,1.39,0.58,0.71,-0.65,0.50,0.08,0.16
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,2,-4,1,1,2,-1,1,1,1,-1,0,0,0
  └─ Profit for PE,2,-4,1,1,2,-1,1,1,1,-1,0,0,0
  └─ Profit for EPS,2,-3,1,1,2,-1,1,1,1,-1,0,0,0
  └─ YOY Profit Growth %,,-214%,,,0%,64%,21%,-52%,-61%,17%,-64%,-86%,-77%
EPS in Rs,0.82,-1.44,0.51,0.54,0.80,-0.57,0.62,0.26,0.32,-0.29,0.22,0.04,0.07
Raw PDF,,,,,,,,,,,,,
