Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4.18,3.60,3.05,4.34,4.01,3.63,3.01,4.70,5.18
  └─ YOY Sales Growth %,,,,,-4.07%,0.83%,-1.31%,8.29%,29.18%
Expenses,3.28,2.52,2.30,2.90,2.91,2.33,2.18,2.93,1.87
  └─ Material Cost %,17.46%,15.56%,17.38%,19.82%,16.71%,16.53%,15.95%,20.00%,-8.88%
  └─ Employee Cost %,12.20%,13.06%,15.41%,12.67%,14.96%,14.60%,19.60%,14.68%,14.48%
Operating Profit,0.90,1.08,0.75,1.44,1.10,1.30,0.83,1.77,3.31
OPM %,21.53%,30.00%,24.59%,33.18%,27.43%,35.81%,27.57%,37.66%,63.90%
Other Income,0.69,0.05,0.05,0.06,0.07,0.05,0.03,0.04,0.07
  └─ Other income normal,0.69,0.05,0.05,0.06,0.07,0.05,0.03,0.04,0.07
Interest,3.44,3.37,3.41,3.43,3.00,3.42,3.55,3.60,3.58
Depreciation,0.77,0.55,0.55,0.55,0.55,0.45,0.45,0.47,0.44
Profit before tax,-2.62,-2.79,-3.16,-2.48,-2.38,-2.52,-3.14,-2.26,-0.64
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-2.62,-2.79,-3.15,-2.48,-2.38,-2.52,-3.15,-2.25,-0.64
  └─ Profit excl Excep,-3,-3,-3,-2,-2,-3,-3,-2,-1
  └─ Profit for PE,-3,-3,-3,-2,-2,-3,-3,-2,-1
  └─ Profit for EPS,-3,-3,-3,-2,-2,-3,-3,-2,-1
  └─ YOY Profit Growth %,,,,,9%,10%,0%,9%,73%
EPS in Rs,-1.75,-1.86,-2.10,-1.65,-1.58,-1.68,-2.10,-1.50,-0.43
Raw PDF,,,,,,,,,
