Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,6.85,5.13,8.08,9.49,9.51,5.96,11.09,8.70,6.11,6.33,9.28,10.02
  └─ YOY Sales Growth %,,,,,38.83%,16.18%,37.25%,-8.32%,-35.75%,6.21%,-16.32%,15.17%
Expenses,5.69,4.12,6.71,7.13,5.54,4.99,7.15,7.19,4.96,4.46,7.58,7.60
  └─ Material Cost %,0.00%,0.00%,26.36%,0.00%,20.72%,27.18%,18.39%,22.41%,24.22%,20.38%,19.61%,18.26%
  └─ Employee Cost %,19.56%,26.90%,19.06%,19.49%,18.19%,30.54%,17.67%,23.91%,30.61%,20.70%,23.28%,23.15%
Operating Profit,1.16,1.01,1.37,2.36,3.97,0.97,3.94,1.51,1.15,1.87,1.70,2.42
OPM %,16.93%,19.69%,16.96%,24.87%,41.75%,16.28%,35.53%,17.36%,18.82%,29.54%,18.32%,24.15%
Other Income,-0.00,-0.00,-0.00,194.68,-0.00,-0.00,-0.00,50.65,-0.00,-0.00,-0.00,-0.00
  └─ Exceptional items,0.00,0.00,0.00,194.68,0.00,0.00,0.00,50.65,0.00,0.00,0.00,0.00
Interest,0.45,0.45,0.47,0.11,0.44,0.42,0.47,0.32,0.39,0.38,0.43,0.34
Depreciation,0.54,0.54,0.44,0.44,0.44,0.45,0.45,0.48,0.48,0.41,0.41,0.59
Profit before tax,0.17,0.02,0.46,196.49,3.09,0.10,3.02,51.36,0.28,1.08,0.86,1.49
Tax %,-100.00%,700.00%,8.70%,0.29%,22.98%,110.00%,26.82%,0.10%,21.43%,19.44%,13.95%,17.45%
Net Profit,0.35,-0.13,0.42,195.92,2.37,-0.01,2.21,51.31,0.22,0.87,0.73,1.24
  └─ Exceptional items AT,0,0,0,194,0,0,0,50,0,0,0,0
  └─ Profit excl Excep,0,-0,0,2,2,-0,2,1,0,1,1,1
  └─ Profit for PE,0,-0,0,2,2,-0,2,1,0,1,1,1
  └─ Profit for EPS,0,-0,0,196,2,-0,2,51,0,1,1,1
  └─ YOY Profit Growth %,,,,,577%,92%,426%,-55%,-91%,8800%,-67%,51%
EPS in Rs,0.25,-0.09,0.30,140.10,1.69,-0.01,1.49,27.68,0.12,0.44,0.36,0.60
Raw PDF,,,,,,,,,,,,
