Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024
  └─ Material Cost %,16.43%,15.95%,18.68%,14.57%
  └─ Employee Cost %,6.49%,7.24%,5.70%,5.97%
  └─ Other income normal,13.07,16.54,28.27,43.39
  └─ Profit excl Excep,25,31,41,55
  └─ Profit for PE,25,31,41,55
  └─ Profit for EPS,25,31,41,55
