Metric,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020
Sales,178,218,213,237,266,235,257,235
  └─ YOY Sales Growth %,,,,,49.45%,7.72%,20.80%,-1.13%
Expenses,141,169,174,199,207,177,184,167
  └─ Material Cost %,50.44%,51.88%,54.41%,59.68%,55.26%,48.89%,44.61%,45.96%
  └─ Employee Cost %,7.08%,6.41%,6.37%,5.33%,6.27%,7.22%,7.41%,7.22%
Operating Profit,37,49,39,38,59,58,73,68
OPM %,21%,23%,18%,16%,22%,25%,28%,29%
Other Income,2,1,3,3,3,2,18,3
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,14.98,0.00
  └─ Other income normal,1.64,1.07,2.85,2.97,2.91,1.93,3.36,2.62
Interest,4,4,4,3,4,3,2,2
Depreciation,6,6,6,6,6,7,7,7
Profit before tax,29,41,32,32,52,51,82,61
Tax %,34%,35%,31%,40%,30%,-9%,26%,19%
Net Profit,19,27,22,19,37,55,60,49
  └─ Exceptional items AT,0,0,0,0,0,0,11,0
  └─ Profit excl Excep,19,27,22,19,37,55,49,49
  └─ Profit for PE,19,27,22,19,37,55,49,49
  └─ Profit for EPS,19,27,22,19,37,55,60,49
  └─ YOY Profit Growth %,,,,,90%,106%,122%,160%
EPS in Rs,3.78,5.23,4.36,3.71,7.19,10.77,11.85,9.65
Raw PDF,,,,,,,,
