Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1243,873,1296,1598,1644,1214,1045,611,828,690,470,265
  └─ YOY Sales Growth %,,,,,32%,39%,-19%,-62%,-50%,-43%,-55%,-57%
Expenses,1461,1308,1597,1910,1849,1593,1505,1306,1065,893,741,546
  └─ Material Cost %,89%,94%,84%,85%,82%,81%,81%,86%,74%,69%,66%,62%
  └─ Employee Cost %,8%,13%,9%,7%,7%,11%,10%,16%,11%,8%,20%,22%
Operating Profit,-218,-435,-301,-312,-205,-379,-460,-695,-237,-203,-271,-281
OPM %,-18%,-50%,-23%,-20%,-12%,-31%,-44%,-114%,-29%,-29%,-58%,-106%
Other Income,34,49,71,73,51,100,127,117,68,66,34,39
  └─ Exceptional items,-2.00,0.00,-4.00,0.00,-23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,36.00,49.00,75.00,73.00,74.00,100.00,127.00,117.00,68.00,66.00,34.00,39.00
Interest,36,46,43,61,67,84,93,122,94,109,80,77
Depreciation,47,92,103,116,126,132,138,170,165,172,170,177
Profit before tax,-267,-524,-376,-416,-347,-495,-564,-870,-428,-418,-487,-496
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%
Net Profit,-267,-524,-376,-416,-347,-495,-564,-870,-428,-418,-487,-500
  └─ Exceptional items AT,-2,0,-4,0,-23,0,0,0,0,0,0,0
  └─ Profit excl Excep,-265,-524,-372,-416,-324,-495,-564,-870,-428,-418,-487,-500
  └─ Profit for PE,-265,-524,-372,-416,-324,-495,-564,-870,-428,-418,-487,-500
  └─ Profit for EPS,-267,-524,-376,-416,-347,-495,-564,-870,-428,-418,-487,-500
  └─ YOY Profit Growth %,,,,,-22%,6%,-52%,-109%,-32%,16%,14%,43%
EPS in Rs,-1.37,-2.68,-1.92,-2.13,-1.45,-1.12,-1.28,-1.97,-0.97,-0.95,-1.10,-1.13
Raw PDF,,,,,,,,,,,,
