Metric,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2679,2400,2504,3074,3518,3531
  └─ YOY Sales Growth %,,,,,31.32%,47.13%
Expenses,2809,2631,2768,3530,4056,3786
  └─ Employee Cost %,7.28%,9.99%,8.28%,7.74%,6.69%,6.57%
Operating Profit,-131,-231,-264,-456,-539,-255
OPM %,-5%,-10%,-11%,-15%,-15%,-7%
Other Income,160,-1158,34,136,75,116
  └─ Exceptional items,-10,-1285,-92,-45,-4,0
  └─ Other income normal,170,127,126,181,79,116
Interest,2,1,1,1,4,2
Depreciation,12,5,8,9,11,19
Profit before tax,15,-1395,-240,-330,-479,-160
Tax %,342%,-0%,21%,24%,3%,4%
Net Profit,-37,-1391,-289,-411,-491,-166
  └─ Exceptional items AT,25,-1285,-73,-34,-4,0
  └─ Profit excl Excep,-63,-107,-216,-377,-487,-166
  └─ Profit for PE,-63,-107,-216,-377,-487,-166
  └─ Profit for EPS,-37,-1391,-289,-411,-491,-166
  └─ YOY Profit Growth %,,,,,-679%,-56%
EPS in Rs,-4.44,-159.79,-1.49,-2.11,-1.09,-0.36
Raw PDF,,,,,,
