Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,20.58,2.82,32.27,16.25,19.81,16.75,-1.72,18.47,21.35
  └─ YOY Sales Growth %,,,,,-3.74%,493.97%,-105.33%,13.66%,7.77%
Expenses,6.39,2.24,26.15,12.70,9.54,14.54,8.45,13.98,18.99
  └─ Material Cost %,8.99%,22.34%,76.91%,52.49%,44.78%,40.54%,,18.79%,36.49%
  └─ Employee Cost %,2.43%,18.44%,1.80%,3.82%,2.47%,2.87%,,2.87%,2.86%
Operating Profit,14.19,0.58,6.12,3.55,10.27,2.21,-10.17,4.49,2.36
OPM %,68.95%,20.57%,18.96%,21.85%,51.84%,13.19%,,24.31%,11.05%
Other Income,0.02,0.01,0.01,0.01,0.02,0.05,6.24,0.00,0.07
  └─ Other income normal,0.02,0.01,0.01,0.01,0.02,0.05,6.24,0.00,0.07
Interest,0.16,0.16,0.17,0.14,0.09,0.21,0.28,0.43,0.41
Depreciation,0.20,0.34,0.69,0.40,0.47,0.39,0.39,0.40,0.28
Profit before tax,13.85,0.09,5.27,3.02,9.73,1.66,-4.60,3.66,1.74
Tax %,25.70%,-11.11%,30.36%,35.10%,34.33%,142.77%,0.00%,-2.73%,-94.25%
Net Profit,10.29,0.10,3.67,1.95,6.39,-0.71,-4.60,3.76,3.38
  └─ Profit excl Excep,10.29,0.10,3.67,1.95,6.39,-0.71,-4.60,3.76,3.38
  └─ Profit for PE,10.29,0.10,3.67,1.95,6.39,-0.71,-4.60,3.76,3.38
  └─ Profit for EPS,10.29,0.10,3.67,1.95,6.39,-0.71,-4.60,3.76,3.38
  └─ YOY Profit Growth %,,,,,-37.90%,-810.00%,-225.34%,92.82%,-47.10%
EPS in Rs,9.28,0.09,3.31,1.76,5.17,-0.57,-3.71,3.03,2.73
Raw PDF,,,,,,,,,
