Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,149,116,158,125,163,172,182
  └─ YOY Sales Growth %,,,,,9.32%,49.16%,15.73%
Expenses,85,76,99,81,107,112,120
  └─ Material Cost %,33.38%,32.85%,37.94%,33.88%,37.46%,34.93%,35.02%
  └─ Employee Cost %,6.18%,8.38%,6.94%,9.80%,8.67%,8.73%,5.77%
Operating Profit,63,39,59,44,55,60,63
OPM %,43%,34%,37%,35%,34%,35%,34%
Other Income,2,2,4,5,10,7,6
  └─ Other income normal,1.87,2.44,3.76,5.16,10.17,6.84,6.42
Interest,1,1,2,2,2,1,2
Depreciation,3,3,3,3,4,4,4
Profit before tax,62,38,58,44,60,62,63
Tax %,21%,24%,24%,29%,21%,23%,23%
Net Profit,49,29,44,31,47,48,49
  └─ Minority share,0.00,0.00,0.00,-0.46,-1.03,-0.24,0.34
  └─ Profit excl Excep,48.75,28.71,44.19,31.27,46.78,47.70,48.54
  └─ Profit for PE,48.75,28.71,44.19,30.81,45.75,47.46,48.88
  └─ Profit for EPS,48.75,28.71,44.19,30.81,45.75,47.46,48.88
  └─ YOY Profit Growth %,,,,,-6.15%,65.31%,10.61%
EPS in Rs,128.13,2.95,4.54,3.17,4.71,4.20,4.33
Raw PDF,,,,,,,
