Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales,1369,1537,1724,1483,1547,1539,1846,1718,1557,1486,1590,1357,1353
  └─ YOY Sales Growth %,30.47%,20.11%,29.10%,-0.81%,12.94%,0.13%,7.05%,15.90%,0.64%,-3.42%,-13.87%,-21.02%,-13.06%
Expenses,1307,1467,1661,1277,1333,1292,1605,1403,1328,1296,1457,1230,1281
  └─ Material Cost %,74%,71%,67%,66%,65%,63%,64%,61%,63%,64%,68%,68%,72%
  └─ Employee Cost %,2%,2%,2%,2%,3%,3%,2%,2%,3%,3%,3%,3%,3%
Operating Profit,63,70,63,205,213,247,241,316,228,190,133,127,72
OPM %,5%,5%,4%,14%,14%,16%,13%,18%,15%,13%,8%,9%,5%
Other Income,5,2,21,8,28,23,156,10,22,18,19,16,13
  └─ Other income normal,4.63,2.45,21.23,7.82,27.59,23.44,156.23,9.50,21.95,17.51,18.70,15.95,13.49
Interest,22,20,26,21,19,15,18,16,15,15,17,18,15
Depreciation,25,25,25,21,21,21,23,22,22,23,26,31,31
Profit before tax,21,28,34,170,202,235,357,287,213,170,108,95,40
Tax %,0%,0%,138%,0%,0%,0%,23%,27%,28%,29%,30%,25%,33%
Net Profit,21,28,-13,170,202,235,273,209,153,120,75,71,26
  └─ Profit excl Excep,21,28,-13,170,202,235,273,209,153,120,75,71,26
  └─ Profit for PE,21,28,-13,170,202,235,273,209,153,120,75,71,26
  └─ Profit for EPS,21,28,-13,170,202,235,273,209,153,120,75,71,26
  └─ YOY Profit Growth %,200%,135%,-298%,681%,852%,741%,2187%,23%,-24%,-49%,-72%,-66%,-83%
EPS in Rs,0.33,0.38,-0.18,2.19,2.51,2.92,3.34,2.35,1.68,1.32,0.83,0.77,0.29
Raw PDF,,,,,,,,,,,,,
