Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,20.05,24.04,22.92,30.86,32.89,35.10,35.68,44.89,46.10,45.24
  └─ YOY Sales Growth %,,,,,64.04%,46.01%,55.67%,45.46%,40.16%,28.89%
Expenses,16.04,20.10,18.16,24.10,25.93,28.81,28.69,36.02,36.00,37.51
  └─ Material Cost %,24.64%,24.33%,25.52%,23.82%,21.86%,21.34%,24.05%,23.59%,21.19%,21.82%
  └─ Employee Cost %,17.51%,17.26%,17.02%,13.87%,13.77%,16.87%,16.26%,13.63%,16.25%,15.58%
Operating Profit,4.01,3.94,4.76,6.76,6.96,6.29,6.99,8.87,10.10,7.73
OPM %,20.00%,16.39%,20.77%,21.91%,21.16%,17.92%,19.59%,19.76%,21.91%,17.09%
Other Income,1.20,-0.41,0.68,1.13,0.89,3.61,1.42,0.76,1.48,0.64
  └─ Other income normal,1.20,-0.41,0.68,1.13,0.89,3.61,1.42,0.76,1.48,0.64
Interest,0.60,0.76,0.80,0.76,1.18,1.35,1.22,1.07,1.25,0.71
Depreciation,3.25,3.49,3.18,3.19,3.05,3.25,2.99,2.91,2.88,2.76
Profit before tax,1.36,-0.72,1.46,3.94,3.62,5.30,4.20,5.65,7.45,4.90
Tax %,102.94%,-70.83%,0.00%,27.41%,25.69%,32.26%,25.71%,25.66%,27.25%,20.20%
Net Profit,-0.05,-0.21,1.45,2.85,2.68,3.59,3.12,4.20,5.42,3.92
  └─ Profit excl Excep,-0.05,-0.21,1.45,2.85,2.68,3.59,3.12,4.20,5.42,3.92
  └─ Profit for PE,-0.05,-0.21,1.45,2.85,2.68,3.59,3.12,4.20,5.42,3.92
  └─ Profit for EPS,-0.05,-0.21,1.45,2.85,2.68,3.59,3.12,4.20,5.42,3.92
  └─ YOY Profit Growth %,,,,,5460.00%,1809.52%,115.17%,47.37%,102.24%,9.19%
EPS in Rs,-0.03,-0.11,0.74,1.45,1.36,1.82,1.59,2.13,2.75,1.99
Raw PDF,,,,,,,,,,
