Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,29.39,39.05,36.98,32.49,30.87,36.28,39.02,35.03,24.32,74.49,44.49,41.22
  └─ YOY Sales Growth %,,,,,5.04%,-7.09%,5.52%,7.82%,-21.22%,105.32%,14.02%,17.67%
Expenses,31.71,37.00,34.69,31.13,29.61,32.45,34.60,33.98,25.64,69.21,42.32,40.77
  └─ Material Cost %,70%,65%,58%,55%,57%,56%,55%,57%,57%,75%,66%,65%
  └─ Employee Cost %,10%,9%,10%,11%,12%,10%,10%,10%,17%,5%,9%,12%
Operating Profit,-2.32,2.05,2.29,1.36,1.26,3.83,4.42,1.05,-1.32,5.28,2.17,0.45
OPM %,-7.89%,5.25%,6.19%,4.19%,4.08%,10.56%,11.33%,3.00%,-5.43%,7.09%,4.88%,1.09%
Other Income,3.92,0.30,0.31,0.25,0.13,0.38,0.24,0.13,0.21,0.56,0.29,2.07
  └─ Other income normal,3.92,0.30,0.31,0.25,0.13,0.38,0.24,0.13,0.21,0.56,0.29,2.07
Interest,0.74,0.70,0.65,0.58,0.62,0.64,0.60,0.51,0.56,0.50,0.56,0.54
Depreciation,0.56,0.57,0.57,0.58,0.50,0.50,0.54,0.61,0.55,0.55,0.55,0.70
Profit before tax,0.30,1.08,1.38,0.45,0.27,3.07,3.52,0.06,-2.22,4.79,1.35,1.28
Tax %,43.33%,25.00%,25.36%,37.78%,25.93%,27.04%,25.28%,66.67%,-24.77%,26.30%,9.63%,17.97%
Net Profit,0.16,0.81,1.04,0.28,0.21,2.24,2.63,0.02,-1.67,3.53,1.22,1.04
  └─ Profit excl Excep,0,1,1,0,0,2,3,0,-2,4,1,1
  └─ Profit for PE,0,1,1,0,0,2,3,0,-2,4,1,1
  └─ Profit for EPS,0,1,1,0,0,2,3,0,-2,4,1,1
  └─ YOY Profit Growth %,,,,,31%,177%,153%,-93%,-895%,58%,-54%,5100%
EPS in Rs,0.36,1.82,2.34,0.63,0.47,5.04,5.92,0.04,-3.39,7.16,2.20,1.88
Raw PDF,,,,,,,,,,,,
