Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,228,188,333,224,276,311,412,345,378,532,466,466
  └─ YOY Sales Growth %,,,,,21.13%,65.00%,23.52%,54.51%,37.01%,70.99%,13.33%,34.84%
Expenses,194,180,257,200,234,287,328,305,320,463,377,418
  └─ Material Cost %,67%,71%,63%,68%,67%,70%,62%,67%,64%,70%,62%,70%
  └─ Employee Cost %,8%,11%,7%,11%,8%,9%,8%,9%,9%,8%,9%,9%
Operating Profit,34,9,76,24,42,24,83,40,58,69,89,48
OPM %,15%,5%,23%,11%,15%,8%,20%,12%,15%,13%,19%,10%
Other Income,2,1,6,1,-8,2,2,2,2,59,1,-19
  └─ Exceptional items,0.00,0.00,0.00,0.00,-10.76,0.00,0.00,0.00,-0.77,55.26,-1.34,-20.65
  └─ Other income normal,1.54,1.15,5.93,1.32,3.14,2.17,1.89,1.77,2.90,3.76,2.24,1.93
Interest,11,13,11,14,14,16,17,22,24,17,19,18
Depreciation,17,18,19,20,21,22,27,29,34,42,46,48
Profit before tax,8,-21,51,-9,-1,-12,41,-9,3,69,26,-36
Tax %,28%,-26%,25%,-27%,-34%,-25%,25%,-32%,28%,25%,26%,-29%
Net Profit,6,-15,38,-6,-0,-9,30,-6,2,51,19,-26
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,-10.76,0.00,0.00,0.00,0.10,41.29,-0.88,-20.65
  └─ Profit excl Excep,5.52,-15.48,38.32,-6.43,10.34,-8.94,30.42,-6.39,1.96,10.20,19.84,-5.00
  └─ Profit for PE,5.52,-15.48,38.32,-6.43,10.34,-8.94,30.42,-6.39,1.96,10.20,19.84,-5.00
  └─ Profit for EPS,5.52,-15.48,38.32,-6.43,-0.42,-8.94,30.42,-6.39,2.06,51.49,18.96,-25.65
  └─ YOY Profit Growth %,,,,,87.32%,42.25%,-20.62%,0.62%,-81.04%,214.09%,-34.78%,21.75%
EPS in Rs,1.58,-2.22,5.49,-0.92,-0.06,-1.20,4.08,-0.86,0.28,6.90,2.54,-3.44
Raw PDF,,,,,,,,,,,,
