Metric,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023
Sales,355,432,470,321,385,413,470,472,571,471,530,478,584
  └─ YOY Sales Growth %,-9.34%,18.80%,28.76%,322.38%,8.59%,-4.45%,-0.10%,46.97%,48.26%,14.14%,12.80%,1.23%,2.26%
Expenses,321,388,414,303,355,376,428,432,513,433,480,443,524
  └─ Material Cost %,68%,69%,70%,69%,69%,69%,71%,70%,71%,71%,70%,72%,71%
  └─ Employee Cost %,14%,12%,10%,16%,13%,13%,11%,12%,10%,11%,10%,12%,10%
Operating Profit,34,44,56,18,30,37,42,40,58,38,50,34,60
OPM %,9%,10%,12%,6%,8%,9%,9%,8%,10%,8%,10%,7%,10%
Other Income,1,1,1,1,3,2,-3,-1,2,2,2,11,2
  └─ Exceptional items,0.00,0.00,0.00,-1.54,0.00,0.00,-5.24,-3.26,0.00,0.00,0.00,7.39,0.00
  └─ Other income normal,1.42,1.30,1.00,2.09,3.40,2.36,2.37,2.71,2.11,1.79,1.95,3.58,2.19
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,22,21,20,19,18,17,17,17,18,19,19,19,20
Profit before tax,12,23,36,-1,14,21,21,21,41,20,32,25,42
Tax %,27%,28%,26%,-6%,26%,26%,27%,26%,27%,23%,18%,25%,27%
Net Profit,9,17,27,-1,11,16,15,16,30,15,26,19,30
  └─ Minority share,-0.67,-1.09,-1.36,-0.42,-1.07,-1.36,-1.37,-1.42,-2.31,-0.90,-1.11,-1.61,-3.13
  └─ Exceptional items AT,0.00,0.00,0.00,-0.14,0.00,0.00,-3.39,-2.18,0.00,0.00,0.00,5.53,0.00
  └─ Profit excl Excep,8.76,16.86,26.67,-0.65,10.58,15.84,18.88,17.74,30.08,15.29,26.18,13.13,30.15
  └─ Profit for PE,8.09,15.77,25.31,-1.07,9.51,14.48,17.21,16.12,27.77,14.39,25.07,12.00,27.02
  └─ Profit for EPS,8.09,15.77,25.31,-1.21,9.51,14.48,14.12,14.14,27.77,14.39,25.07,17.05,27.02
  └─ YOY Profit Growth %,-22.58%,192.58%,179.67%,97.14%,17.55%,-8.18%,-32.00%,1606.64%,192.01%,-0.62%,45.67%,-25.58%,-2.70%
EPS in Rs,0.30,0.59,0.95,-0.05,0.36,0.54,0.53,0.53,1.04,0.54,0.94,0.64,1.01
Raw PDF,,,,,,,,,,,,,
