Metric,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Sales,30.46,53.88,66.51,64.15,28.68,67.55,79.74,49.96,75.80,97.20,115.15,88.33,79.54
  └─ YOY Sales Growth %,-46.73%,-1.66%,109.35%,35.05%,-5.84%,25.37%,19.89%,-22.12%,164.30%,43.89%,44.41%,76.80%,4.93%
Expenses,28.27,35.78,49.93,58.45,39.85,54.67,62.34,51.95,71.65,90.23,87.96,69.84,70.18
  └─ Material Cost %,38.64%,27.69%,34.21%,43.73%,65.10%,42.89%,43.34%,54.34%,47.89%,55.93%,43.28%,45.94%,47.76%
  └─ Employee Cost %,18.15%,11.51%,11.11%,10.09%,24.76%,10.07%,8.44%,12.45%,8.31%,6.35%,6.50%,8.55%,8.86%
Operating Profit,2.19,18.10,16.58,5.70,-11.17,12.88,17.40,-1.99,4.15,6.97,27.19,18.49,9.36
OPM %,7.19%,33.59%,24.93%,8.89%,-38.95%,19.07%,21.82%,-3.98%,5.47%,7.17%,23.61%,20.93%,11.77%
Other Income,2.79,3.20,3.25,-9.37,3.18,3.97,1.27,8.67,17.44,3.16,3.30,1.41,1.23
  └─ Exceptional items,0.00,0.00,0.00,-12.92,0.00,0.00,0.00,7.00,15.91,0.00,0.00,0.00,0.00
  └─ Other income normal,2.79,3.20,3.25,3.55,3.18,3.97,1.27,1.67,1.53,3.16,3.30,1.41,1.23
Interest,3.39,3.12,3.23,2.91,2.48,2.31,2.08,1.96,1.81,1.70,1.53,1.18,0.32
Depreciation,4.41,4.46,4.38,4.24,4.26,4.37,4.44,4.36,4.45,4.57,5.62,4.51,4.58
Profit before tax,-2.82,13.72,12.22,-10.82,-14.73,10.17,12.15,0.36,15.33,3.86,23.34,14.21,5.69
Tax %,-36.52%,-62.83%,26.35%,-22.64%,-27.70%,28.32%,27.33%,111.11%,25.64%,19.69%,25.45%,25.26%,24.08%
Net Profit,-1.79,22.33,9.00,-8.37,-10.65,7.29,8.84,-0.05,11.41,3.10,17.40,10.61,4.32
  └─ Exceptional items AT,0,0,0,-13,0,0,0,6,12,0,0,0,0
  └─ Profit excl Excep,-2,22,9,5,-11,7,9,-6,-1,3,17,11,4
  └─ Profit for PE,-2,22,9,5,-11,7,9,-6,-1,3,17,11,4
  └─ Profit for EPS,-2,22,9,-8,-11,7,9,-0,11,3,17,11,4
  └─ YOY Profit Growth %,-112%,286%,263%,50%,-495%,-67%,-2%,-235%,95%,-57%,97%,273%,858%
EPS in Rs,-3.14,39.18,15.79,-14.68,-18.68,12.79,15.51,-0.09,20.02,5.44,30.53,18.61,7.58
Raw PDF,,,,,,,,,,,,,
