Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,3.85,6.21,3.43,3.47,3.34,19.28,17.75,21.55,7.97,1.44,4.72,36.19,-8.27
  └─ YOY Sales Growth %,,-46%,-6%,5%,-13%,210%,417%,521%,139%,-93%,-73%,68%,-204%
Expenses,3.04,5.03,2.72,2.69,2.61,17.72,16.17,2.16,6.59,14.01,2.54,35.43,-4.64
  └─ Material Cost %,0.00%,8.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
  └─ Employee Cost %,32.21%,30.92%,34.99%,34.01%,26.95%,18.05%,8.45%,6.77%,12.92%,134.72%,32.84%,4.06%,
Operating Profit,0.81,1.18,0.71,0.78,0.73,1.56,1.58,19.39,1.38,-12.57,2.18,0.76,-3.63
OPM %,21.04%,19.00%,20.70%,22.48%,21.86%,8.09%,8.90%,89.98%,17.31%,-872.92%,46.19%,2.10%,
Other Income,0.08,0.12,0.12,0.14,0.14,0.24,0.11,0.58,0.32,19.74,0.13,1.93,5.16
  └─ Other income normal,0.08,0.12,0.12,0.14,0.14,0.24,0.11,0.58,0.32,19.74,0.13,1.93,5.16
Interest,0.39,0.52,0.35,0.43,0.35,0.55,0.38,19.01,0.59,0.38,0.03,0.02,0.00
Depreciation,0.31,0.31,0.31,0.31,0.31,0.28,0.29,0.29,0.29,7.80,2.03,2.03,2.03
Profit before tax,0.19,0.47,0.17,0.18,0.21,0.97,1.02,0.67,0.82,-1.01,0.25,0.64,-0.50
Tax %,26.32%,72.34%,-35.29%,38.89%,28.57%,-15.46%,54.90%,26.87%,25.61%,-88.12%,112.00%,29.69%,-22.00%
Net Profit,0.14,0.14,0.23,0.11,0.15,1.13,0.47,0.49,0.61,-0.11,-0.03,0.44,-0.40
  └─ Profit excl Excep,0,0,0,0,0,1,0,0,1,-0,-0,0,-0
  └─ Profit for PE,0,0,0,0,0,1,0,0,1,-0,-0,0,-0
  └─ Profit for EPS,0,0,0,0,0,1,0,0,1,-0,-0,0,-0
  └─ YOY Profit Growth %,,-46%,28%,-15%,7%,707%,104%,345%,307%,-110%,-106%,-10%,-166%
EPS in Rs,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,-0.00,-0.00,0.02,-0.02
Raw PDF,,,,,,,,,,,,,
