Metric,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,10.15,16.53,10.97,11.65,11.04,13.38
  └─ YOY Sales Growth %,,,,,8.77%,-19.06%
Expenses,8.81,13.97,9.48,9.61,9.21,9.99
  └─ Material Cost %,83%,80%,82%,77%,78%,68%
  └─ Employee Cost %,1%,2%,1%,1%,1%,1%
Operating Profit,1.34,2.56,1.49,2.04,1.83,3.39
OPM %,13.20%,15.49%,13.58%,17.51%,16.58%,25.34%
Other Income,0.00,0.02,0.00,0.02,0.00,0.03
  └─ Other income normal,0.00,0.02,0.00,0.02,0.00,0.03
Interest,0.00,0.15,0.00,0.01,0.12,0.66
Depreciation,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,1.33,2.42,1.48,2.04,1.70,2.75
Tax %,24.06%,28.10%,25.00%,30.88%,25.29%,31.27%
Net Profit,1.01,1.74,1.11,1.41,1.28,1.90
  └─ Profit excl Excep,1.01,1.74,1.11,1.41,1.28,1.90
  └─ Profit for PE,1.01,1.74,1.11,1.41,1.28,1.90
  └─ Profit for EPS,1.01,1.74,1.11,1.41,1.28,1.90
  └─ YOY Profit Growth %,,,,,26.73%,9.20%
EPS in Rs,0.42,0.72,0.37,0.44,0.40,0.59
Raw PDF,,,,,,
