Metric,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023
Sales,26.00,21.87,7.07,11.64,15.19,4.99,8.78,12.27,13.59,7.50,15.85,11.36,11.37
  └─ YOY Sales Growth %,,-41.38%,,,-30.54%,-29.42%,-24.57%,,-10.53%,50.30%,80.52%,-7.42%,-16.34%
Expenses,23.75,20.52,6.77,10.07,13.57,4.68,8.11,11.31,13.93,6.90,15.04,10.28,10.42
  └─ Material Cost %,60.46%,47.60%,59.55%,57.13%,52.14%,36.87%,50.23%,58.11%,61.07%,41.33%,68.39%,49.47%,45.65%
  └─ Employee Cost %,8.77%,11.71%,14.57%,10.05%,11.59%,21.64%,12.98%,13.12%,11.85%,15.73%,7.44%,10.74%,14.60%
Operating Profit,2.25,1.35,0.30,1.57,1.62,0.31,0.67,0.96,-0.34,0.60,0.81,1.08,0.95
OPM %,8.65%,6.17%,4.24%,13.49%,10.66%,6.21%,7.63%,7.82%,-2.50%,8.00%,5.11%,9.51%,8.36%
Other Income,0.05,1.83,0.08,0.05,0.14,0.06,0.18,0.06,-2.90,0.03,0.08,0.07,0.36
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.19,0.00,0.00,-0.19,0.19
  └─ Other income normal,0.05,1.83,0.08,0.05,0.14,0.06,0.18,0.06,0.29,0.03,0.08,0.26,0.17
Interest,0.18,0.27,0.15,0.04,0.04,0.08,0.14,0.13,0.15,0.14,0.07,0.08,0.04
Depreciation,0.56,0.86,0.75,0.77,0.79,0.72,0.75,0.78,0.88,0.89,0.91,0.92,0.96
Profit before tax,1.56,2.05,-0.52,0.81,0.93,-0.43,-0.04,0.11,-4.27,-0.40,-0.09,0.15,0.31
Tax %,25.00%,31.22%,0.00%,14.81%,30.11%,-2.33%,125.00%,36.36%,-27.40%,-25.00%,211.11%,-133.33%,96.77%
Net Profit,1.14,1.27,-0.52,0.69,0.66,-0.41,-0.09,0.08,-3.11,-0.30,-0.28,0.36,0.00
  └─ Profit from Associates,-0,-0,0,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,-3,0,0,-0,0
  └─ Profit excl Excep,1,1,-1,1,1,-0,-0,0,0,-0,-0,1,0
  └─ Profit for PE,1,1,-1,1,1,-0,-0,0,0,-0,-0,1,0
  └─ Profit for EPS,1,1,-1,1,1,-0,-0,0,-3,-0,-0,0,0
  └─ YOY Profit Growth %,,-76%,,,-48%,21%,-113%,,-88%,27%,-211%,588%,-100%
EPS in Rs,1.11,1.24,-0.51,0.67,0.64,-0.40,-0.09,0.08,-3.03,-0.29,-0.27,0.35,0.00
Raw PDF,,,,,,,,,,,,,
