Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,342,846,567,683,367,533,644,1097
  └─ YOY Sales Growth %,,,,,7%,-37%,14%,61%
Expenses,245,659,446,607,287,439,526,934
  └─ Material Cost %,55%,34%,22%,30%,7%,21%,42%,61%
  └─ Employee Cost %,5%,2%,3%,3%,5%,5%,4%,2%
Operating Profit,97,187,121,76,80,94,118,163
OPM %,28%,22%,21%,11%,22%,18%,18%,15%
Other Income,16,0,0,7,6,10,10,20
  └─ Other income normal,15.88,0.11,0.07,7.37,5.64,10.14,10.18,20.15
Interest,45,41,22,7,10,7,9,34
Depreciation,2,2,1,2,2,2,5,3
Profit before tax,66,145,98,75,74,96,114,146
Tax %,25%,29%,28%,25%,26%,29%,31%,27%
Net Profit,50,102,71,56,55,68,79,106
  └─ Minority share,-5,-7,-1,1,-1,-4,-3,-7
  └─ Profit excl Excep,50,102,71,56,55,68,79,106
  └─ Profit for PE,45,95,70,57,54,64,76,99
  └─ Profit for EPS,45,95,70,57,54,64,76,99
  └─ YOY Profit Growth %,,,,,20%,-33%,8%,73%
EPS in Rs,89.94,170.68,24.08,3.21,3.03,3.59,3.51,4.59
Raw PDF,,,,,,,,
