Metric,Sep 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,6.12,7.61,6.59,8.11,8.34,8.72,7.94,8.62,9.67,10.04
  └─ YOY Sales Growth %,,,,32.52%,,14.59%,20.49%,6.29%,15.95%,15.14%
Expenses,6.28,7.61,6.62,8.23,8.77,8.85,7.45,8.08,9.66,10.19
  └─ Material Cost %,99%,94%,94%,91%,92%,90%,84%,86%,93%,94%
  └─ Employee Cost %,1%,1%,2%,2%,3%,3%,3%,3%,3%,3%
Operating Profit,-0.16,0.00,-0.03,-0.12,-0.43,-0.13,0.49,0.54,0.01,-0.15
OPM %,-2.61%,0.00%,-0.46%,-1.48%,-5.16%,-1.49%,6.17%,6.26%,0.10%,-1.49%
Other Income,0.24,0.28,0.32,0.25,0.29,0.81,0.26,0.30,0.41,0.65
  └─ Other income normal,0.24,0.28,0.32,0.25,0.29,0.81,0.26,0.30,0.41,0.65
Interest,0.01,0.01,0.00,0.02,0.01,0.00,0.01,0.01,0.03,0.03
Depreciation,0.01,0.05,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.04
Profit before tax,0.06,0.22,0.27,0.10,-0.17,0.66,0.72,0.82,0.37,0.43
Tax %,-66.67%,-168.18%,-137.04%,90.00%,94.12%,-1.52%,34.72%,29.27%,13.51%,9.30%
Net Profit,0.10,0.59,0.65,0.00,-0.31,0.68,0.47,0.58,0.32,0.39
  └─ Profit excl Excep,0.10,0.59,0.65,0.00,-0.31,0.68,0.47,0.58,0.32,0.39
  └─ Profit for PE,0.10,0.59,0.65,0.00,-0.31,0.68,0.47,0.58,0.32,0.39
  └─ Profit for EPS,0.10,0.59,0.65,0.00,-0.31,0.68,0.47,0.58,0.32,0.39
  └─ YOY Profit Growth %,,,,-100.00%,,15.25%,-27.69%,,203.23%,-42.65%
EPS in Rs,0.29,1.73,1.91,0.00,-0.91,1.99,1.38,1.70,0.94,1.14
Raw PDF,,,,,,,,,,
