Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales,342,335,338,322,312,323,283,308,303,279,289,271,296
  └─ YOY Sales Growth %,-5.78%,-8.15%,-6.13%,-2.63%,-8.65%,-3.82%,-16.07%,-4.25%,-3.08%,-13.48%,1.85%,-12.21%,-2.12%
Expenses,310,310,304,321,306,310,340,302,303,293,297,273,299
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.10%,0.12%,0.16%,0.38%,0.11%,0.00%,0.00%
  └─ Employee Cost %,4.93%,4.88%,5.26%,4.78%,4.84%,4.86%,4.91%,5.00%,5.24%,5.61%,5.06%,5.25%,5.05%
Operating Profit,32,25,33,1,6,12,-57,7,-1,-14,-8,-2,-3
OPM %,9%,8%,10%,0%,2%,4%,-20%,2%,-0%,-5%,-3%,-1%,-1%
Other Income,9,10,5,2,3,4,76,4,6,5,18,7,6
  └─ Exceptional items,0.00,0.00,-8.05,0.00,0.00,0.00,69.68,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,8.61,10.20,12.90,2.44,3.43,3.73,6.81,4.26,5.51,5.47,18.15,7.04,5.60
Interest,29,28,28,27,25,24,-6,24,24,24,24,24,25
Depreciation,78,75,112,74,70,63,26,34,33,31,27,24,21
Profit before tax,-66,-68,-102,-99,-85,-71,0,-47,-52,-64,-42,-43,-43
Tax %,3%,1%,-1%,-1%,-1%,2%,-7725%,1%,4%,5%,7%,2%,1%
Net Profit,-68,-69,-101,-97,-84,-73,9,-48,-54,-67,-45,-44,-44
  └─ Minority share,2.11,4.53,24.48,9.58,4.99,3.27,10.12,1.10,3.52,5.36,-6.18,-1.12,4.16
  └─ Exceptional items AT,0.00,0.00,-7.79,0.00,0.00,0.00,69.68,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,-68.16,-68.99,-93.19,-97.11,-83.97,-72.90,-60.28,-47.74,-54.15,-66.86,-44.51,-44.13,-43.57
  └─ Profit for PE,-66.05,-64.46,-70.60,-87.53,-78.98,-69.63,-50.16,-46.64,-50.63,-61.50,-50.69,-45.25,-39.41
  └─ Profit for EPS,-66.05,-64.46,-76.50,-87.53,-78.98,-69.63,19.52,-46.64,-50.63,-61.50,-50.69,-45.25,-39.41
  └─ YOY Profit Growth %,-12.97%,-7.52%,-3.13%,-19.95%,-19.58%,-8.02%,28.95%,46.72%,35.90%,11.68%,-1.06%,2.98%,22.16%
EPS in Rs,-0.76,-0.74,-0.88,-1.00,-0.91,-0.80,0.22,-0.53,-0.58,-0.71,-0.58,-0.52,-0.45
Raw PDF,,,,,,,,,,,,,
