Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,169,64,95,139,217,115,140,181,300,128,158,160,291
  └─ YOY Sales Growth %,7.39%,38.23%,31.46%,21.71%,28.62%,78.37%,46.69%,29.86%,38.32%,11.40%,12.87%,-11.17%,-3.28%
Expenses,133,65,81,107,164,111,115,140,242,132,137,144,222
  └─ Material Cost %,45.17%,41.16%,36.15%,41.25%,42.69%,48.53%,36.17%,39.16%,51.09%,51.28%,42.78%,44.70%,41.45%
  └─ Employee Cost %,12.92%,32.90%,24.09%,17.24%,12.16%,23.60%,22.06%,17.77%,11.49%,29.32%,23.92%,23.98%,11.72%
Operating Profit,36,-0,14,32,53,3,25,41,59,-4,20,17,69
OPM %,21%,-1%,15%,23%,24%,3%,18%,23%,20%,-3%,13%,11%,24%
Other Income,5,1,1,2,2,2,4,1,3,5,2,4,9
  └─ Other income normal,5.10,1.23,1.37,2.13,1.56,1.77,4.22,1.34,3.04,5.33,2.11,4.08,9.05
Interest,3,2,3,3,3,2,3,4,4,3,3,3,3
Depreciation,3,3,3,3,3,3,3,4,7,4,5,5,5
Profit before tax,35,-4,10,28,49,-0,22,35,51,-6,14,13,69
Tax %,6%,-12%,14%,20%,20%,-121%,28%,-0%,30%,-17%,22%,-1%,18%
Net Profit,33,-3,9,23,39,0,16,35,36,-5,11,13,57
  └─ Minority share,0,0,0,0,0,0,-0,0,0,0,0,0,0
  └─ Profit excl Excep,33,-3,9,23,39,0,16,35,36,-5,11,13,57
  └─ Profit for PE,33,-3,9,23,39,0,16,35,36,-5,11,13,57
  └─ Profit for EPS,33,-3,9,23,39,0,16,35,36,-5,11,13,57
  └─ YOY Profit Growth %,42%,19%,51%,33%,17%,115%,87%,55%,-7%,-1118%,-30%,-62%,57%
EPS in Rs,5.52,-0.56,1.42,3.76,6.29,0.08,2.56,5.60,5.76,-0.81,1.77,2.13,8.97
Raw PDF,,,,,,,,,,,,,
