Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3001,3036,3207,2507,3063,3244,3434,3388,3256,3264,6047,3901,3771
  └─ YOY Sales Growth %,-0.62%,9.32%,6.28%,-19.14%,2.08%,6.85%,7.06%,35.14%,6.31%,0.62%,76.10%,15.15%,15.80%
Expenses,2603,2599,2745,2715,2559,2656,2832,2787,2695,2684,3687,3031,3008
  └─ Material Cost %,38.51%,39.12%,37.34%,41.18%,32.50%,34.22%,31.16%,32.01%,33.44%,31.11%,20.91%,33.20%,31.09%
  └─ Employee Cost %,20.46%,22.44%,22.85%,30.04%,22.89%,21.90%,22.91%,23.28%,22.62%,23.37%,17.96%,21.57%,23.54%
Operating Profit,398,437,462,-209,504,588,602,600,561,581,2360,870,763
OPM %,13%,14%,14%,-8%,16%,18%,18%,18%,17%,18%,39%,22%,20%
Other Income,-696,-32,-205,87,351,31,39,31,-361,-297,-1184,-140,-184
  └─ Exceptional items,-653,-52,-207,42,-422,0,0,0,-373,-323,-1385,-184,-373
  └─ Other income normal,-42,20,2,45,773,31,39,31,12,26,201,44,189
Interest,109,112,121,134,149,40,48,52,67,58,66,41,43
Depreciation,135,142,141,147,151,118,120,123,125,130,141,154,148
Profit before tax,-542,151,-6,-403,555,462,473,456,8,96,967,534,388
Tax %,-26%,-14%,997%,-18%,319%,26%,25%,24%,45%,51%,37%,24%,22%
Net Profit,-403,173,-62,-331,-1214,340,354,348,4,47,610,403,301
  └─ Minority share,-25,-23,-20,-21,-4,0,-0,-0,0,-0,-0,-0,0
  └─ Exceptional items AT,-534,-32,-151,42,1067,0,0,0,-366,-214,-925,-137,-261
  └─ Profit excl Excep,130,206,89,-373,-2281,340,354,348,370,261,1536,540,562
  └─ Profit for PE,105,178,69,-393,-2285,340,354,348,370,260,1535,540,563
  └─ Profit for EPS,-428,150,-82,-351,-1218,340,354,348,5,47,610,403,301
  └─ YOY Profit Growth %,-47%,-8%,-74%,-352%,-2271%,91%,415%,188%,116%,-23%,333%,55%,52%
EPS in Rs,-15.18,5.31,-2.90,-12.45,-43.17,12.06,12.55,12.33,0.16,1.66,21.63,14.29,10.68
Raw PDF,,,,,,,,,,,,,
