Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,62,211,239,123,125,202,225,131,159,264,197,197
  └─ YOY Sales Growth %,,,,,102.98%,-4.41%,-6.06%,6.97%,27.17%,30.75%,-12.42%,49.55%
Expenses,52,146,173,96,83,143,164,87,125,200,143,159
  └─ Material Cost %,74%,65%,69%,67%,55%,64%,67%,54%,71%,71%,64%,71%
  └─ Employee Cost %,5%,2%,2%,4%,4%,3%,3%,5%,4%,3%,4%,5%
Operating Profit,10,65,66,27,42,59,61,44,34,63,54,38
OPM %,15%,31%,28%,22%,33%,29%,27%,34%,21%,24%,27%,19%
Other Income,0,0,1,1,0,2,7,3,6,1,2,-180
  └─ Exceptional items,0,0,0,0,0,0,0,0,0,0,0,-182
  └─ Other income normal,0,0,1,1,0,2,7,3,6,1,2,2
Interest,0,1,0,2,0,1,0,0,0,0,0,0
Depreciation,0,0,0,1,1,1,1,1,2,3,3,3
Profit before tax,9,64,67,25,41,58,67,45,38,62,53,-145
Tax %,30%,25%,27%,22%,26%,26%,25%,27%,25%,26%,24%,-25%
Net Profit,7,48,49,20,30,43,50,33,29,46,40,-110
  └─ Minority share,0,0,0,0,0,0,0,0,0,-0,0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-182
  └─ Profit excl Excep,7,48,49,20,30,43,50,33,29,46,40,73
  └─ Profit for PE,7,48,49,20,30,43,50,33,29,46,40,73
  └─ Profit for EPS,7,48,49,20,30,43,50,33,29,46,40,-109
  └─ YOY Profit Growth %,,,,,359%,-9%,2%,70%,-5%,6%,-20%,118%
EPS in Rs,32.90,3.15,3.22,1.29,1.99,2.34,2.70,1.79,1.55,2.47,2.17,-5.90
Raw PDF,,,,,,,,,,,,
