Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,521,297,551,555,580,563,529,587,512,495,501,518
  └─ YOY Sales Growth %,,,,,11.40%,89.60%,-3.89%,5.79%,-11.85%,-12.06%,-5.33%,-11.72%
Expenses,493,273,558,540,571,547,492,556,495,480,465,479
  └─ Material Cost %,53%,54%,55%,53%,54%,53%,49%,54%,50%,48%,45%,50%
  └─ Employee Cost %,15%,16%,15%,17%,17%,18%,17%,17%,21%,21%,18%,20%
Operating Profit,28,24,-7,15,10,16,38,31,16,15,36,39
OPM %,5%,8%,-1%,3%,2%,3%,7%,5%,3%,3%,7%,8%
Other Income,-3,3,22,7,5,-0,-4,221,4,4,-3,530
  └─ Exceptional items,-3,-0,-1,-0,0,-3,-8,208,0,0,-8,521
  └─ Other income normal,1,3,23,8,5,3,4,13,4,4,5,9
Interest,21,11,24,22,26,26,27,24,26,27,29,26
Depreciation,37,21,43,39,38,40,45,49,46,51,49,60
Profit before tax,-33,-6,-53,-39,-50,-51,-39,179,-52,-58,-45,483
Tax %,8%,75%,19%,22%,12%,6%,13%,20%,11%,10%,16%,12%
Net Profit,-36,-10,-63,-47,-56,-54,-44,144,-58,-64,-52,426
  └─ Exceptional items AT,-3,0,-1,-0,0,-3,-7,170,0,0,-6,464
  └─ Profit excl Excep,-33,-10,-62,-47,-56,-51,-37,-26,-58,-64,-46,-38
  └─ Profit for PE,-33,-10,-62,-47,-56,-51,-37,-26,-58,-64,-46,-38
  └─ Profit for EPS,-36,-10,-63,-47,-56,-54,-44,144,-58,-64,-52,426
  └─ YOY Profit Growth %,,,,,-70%,-417%,40%,44%,-3%,-25%,-23%,-44%
EPS in Rs,,-4.88,-31.09,-23.40,-27.60,-26.79,-20.03,65.11,-26.20,-29.19,-23.55,193.42
Raw PDF,,,,,,,,,,,,
