Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,114.88,111.10,105.76,105.07,99.34,94.58,96.79,111.09,106.01,92.16,81.97,76.32,96.58
  └─ YOY Sales Growth %,46.40%,36.25%,22.21%,9.69%,-13.53%,-14.87%,-8.48%,5.73%,6.71%,-2.56%,-15.31%,-31.30%,-8.90%
Expenses,89.69,90.93,80.81,84.73,81.05,76.32,78.44,90.62,90.85,86.43,76.04,74.59,82.63
  └─ Material Cost %,37.29%,43.58%,35.65%,37.87%,37.62%,36.06%,40.36%,39.43%,42.46%,42.87%,43.60%,50.94%,41.39%
  └─ Employee Cost %,12.30%,10.37%,13.27%,10.93%,11.24%,12.91%,12.30%,11.69%,13.00%,14.29%,16.71%,7.91%,11.71%
Operating Profit,25.19,20.17,24.95,20.34,18.29,18.26,18.35,20.47,15.16,5.73,5.93,1.73,13.95
OPM %,21.93%,18.15%,23.59%,19.36%,18.41%,19.31%,18.96%,18.43%,14.30%,6.22%,7.23%,2.27%,14.44%
Other Income,1.88,2.07,1.90,1.92,1.90,2.90,2.24,4.00,4.62,3.83,1.34,3.07,3.19
  └─ Other income normal,1.88,2.07,1.90,1.92,1.90,2.90,2.24,4.00,4.62,3.83,1.34,3.07,3.19
Interest,2.32,3.00,2.66,2.13,1.85,2.41,3.26,2.43,2.11,2.68,2.98,2.66,2.29
Depreciation,3.47,3.23,3.37,3.50,3.53,3.64,3.76,4.01,4.07,4.10,4.13,4.15,4.17
Profit before tax,21.28,16.01,20.82,16.63,14.81,15.11,13.57,18.03,13.60,2.78,0.16,-2.01,10.68
Tax %,33.36%,26.23%,31.12%,33.25%,33.15%,46.66%,36.92%,6.38%,34.56%,-14.75%,1056.25%,4.48%,33.71%
Net Profit,14.18,11.82,14.33,11.10,9.90,8.07,8.56,16.88,8.89,3.19,-1.53,-2.11,7.08
  └─ Minority share,0.03,-0.02,-0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,14.18,11.82,14.33,11.10,9.90,8.07,8.56,16.88,8.89,3.19,-1.53,-2.11,7.08
  └─ Profit for PE,14.21,11.80,14.32,11.09,9.91,8.07,8.56,16.88,8.89,3.19,-1.53,-2.11,7.08
  └─ Profit for EPS,14.21,11.80,14.32,11.09,9.91,8.07,8.56,16.88,8.89,3.19,-1.53,-2.11,7.08
  └─ YOY Profit Growth %,66.98%,83.51%,39.84%,12.47%,-30.26%,-31.61%,-40.22%,52.21%,-10.29%,-60.47%,-117.87%,-112.50%,-20.36%
EPS in Rs,3.73,3.10,3.76,2.83,2.53,2.06,2.17,4.28,1.98,0.71,-0.34,-0.47,1.58
Raw PDF,,,,,,,,,,,,,
