Metric,Dec 2011,Mar 2012
Sales,7.77,10.71
Expenses,6.85,9.10
  └─ Material Cost %,60%,59%
  └─ Employee Cost %,7%,12%
Operating Profit,0.92,1.61
OPM %,11.84%,15.03%
Other Income,0.09,0.42
  └─ Exceptional items,0.00,0.28
  └─ Other income normal,0.09,0.14
Interest,0.28,0.46
Depreciation,0.07,0.09
Profit before tax,0.66,1.48
Tax %,34.85%,25.00%
Net Profit,0.43,1.11
  └─ Exceptional items AT,0.00,0.21
  └─ Profit excl Excep,0.43,0.90
  └─ Profit for PE,0.43,0.90
  └─ Profit for EPS,0.43,1.11
EPS in Rs,1.04,2.69
Raw PDF,,
