Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2025,Mar 2026
Sales,21.61,10.83,0.01,21.49,25.57,19.90,22.96,20.74,19.24,-13.04,-15.98,83.40,302.48
  └─ YOY Sales Growth %,-1%,139%,100%,597%,18%,84%,229500%,-3%,-25%,-166%,-170%,740%,1993%
Expenses,1.50,0.82,2.41,1.90,1.27,-1.42,10.25,0.97,1.42,0.75,7.88,100.96,300.77
  └─ Material Cost %,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,113%,98%
  └─ Employee Cost %,4%,4%,6700%,5%,4%,5%,10%,3%,3%,,,1%,0%
Operating Profit,20.11,10.01,-2.40,19.59,24.30,21.32,12.71,19.77,17.82,-13.79,-23.86,-17.56,1.71
OPM %,93.06%,92.43%,-24000.00%,91.16%,95.03%,107.14%,55.36%,95.32%,92.62%,,,-21.06%,0.57%
Other Income,0.00,0.06,0.02,0.03,0.00,0.01,0.17,0.01,0.24,0.00,5.37,28.25,9.46
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,0.00
  └─ Other income normal,0.00,0.06,0.02,0.03,0.00,0.01,0.17,0.01,0.24,0.00,3.20,28.25,9.46
Interest,0.85,1.10,1.09,1.55,0.85,1.40,0.96,1.22,0.58,0.72,0.56,0.05,0.06
Depreciation,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,2.14,2.13
Profit before tax,19.25,8.96,-3.49,18.06,23.43,19.92,11.91,18.55,17.47,-14.53,-19.06,8.50,8.98
Tax %,4.05%,25.89%,-16.05%,19.55%,16.77%,22.64%,16.04%,27.12%,0.34%,-25.40%,-4.20%,30.47%,31.29%
Net Profit,18.47,6.64,-2.94,14.53,19.50,15.41,10.00,13.51,17.41,-10.84,-18.27,5.91,6.17
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,2,0,0
  └─ Profit excl Excep,18,7,-3,15,20,15,10,14,17,-11,-20,6,6
  └─ Profit for PE,18,7,-3,15,20,15,10,14,17,-11,-20,6,6
  └─ Profit for EPS,18,7,-3,15,20,15,10,14,17,-11,-18,6,6
  └─ YOY Profit Growth %,2%,200%,69%,275%,6%,132%,440%,-7%,-11%,-170%,-304%,155%,130%
EPS in Rs,2.40,0.86,-0.38,1.89,2.54,2.01,1.30,1.76,2.27,-1.41,-2.38,0.77,0.80
Raw PDF,,,,,,,,,,,,,
