Metric,Mar 2015,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,66.55,68.33,57.70,60.74,68.46,71.73,101.06,89.23,84.76,102.61,103.56,64.72,68.72
  └─ YOY Sales Growth %,8.97%,,,,,4.98%,75.15%,46.90%,23.81%,43.05%,2.47%,-27.47%,-18.92%
Expenses,61.59,63.31,53.63,55.25,64.73,69.08,98.94,84.43,83.38,98.97,98.88,62.04,66.67
  └─ Material Cost %,84%,87%,87%,87%,87%,87%,90%,89%,92%,92%,91%,89%,89%
  └─ Employee Cost %,2%,1%,1%,1%,1%,2%,1%,2%,2%,1%,1%,2%,2%
Operating Profit,4.96,5.02,4.07,5.49,3.73,2.65,2.12,4.80,1.38,3.64,4.68,2.68,2.05
OPM %,7.45%,7.35%,7.05%,9.04%,5.45%,3.69%,2.10%,5.38%,1.63%,3.55%,4.52%,4.14%,2.98%
Other Income,0.00,1.31,1.20,-0.25,0.30,2.59,13.78,1.00,1.49,2.78,1.04,2.10,2.43
  └─ Other income normal,0.00,1.31,1.20,-0.25,0.30,2.59,13.78,1.00,1.49,2.78,1.04,2.10,2.43
Interest,2.48,2.62,2.32,1.99,1.45,0.82,0.90,0.88,1.09,1.28,1.18,1.14,1.55
Depreciation,1.33,1.34,0.87,0.90,0.93,1.08,1.06,0.98,1.39,1.89,1.23,1.36,1.04
Profit before tax,1.15,2.37,2.08,2.35,1.65,3.34,13.94,3.94,0.39,3.25,3.31,2.28,1.89
Tax %,79.13%,24.47%,25.48%,25.11%,24.85%,31.44%,25.54%,27.66%,241.03%,-32.31%,28.70%,22.81%,129.10%
Net Profit,0.23,1.79,1.55,1.77,1.23,2.30,10.38,2.85,-0.55,4.30,2.37,1.75,-0.55
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,0,-1
  └─ Profit excl Excep,0,2,2,2,1,2,10,3,-1,4,2,2,-1
  └─ Profit for PE,0,2,2,2,1,2,10,3,-1,4,2,2,-2
  └─ Profit for EPS,0,2,2,2,1,2,10,3,-1,4,2,2,-2
  └─ YOY Profit Growth %,-92%,,,,,28%,570%,61%,-145%,87%,-77%,-39%,-202%
EPS in Rs,0.00,0.02,0.01,0.01,0.01,0.02,0.06,0.02,-0.00,0.02,0.01,0.01,-0.01
Raw PDF,,,,,,,,,,,,,
