Metric,Sep 2021,Jun 2022,Sep 2022,Dec 2024,Sep 2025,Dec 2025,Mar 2026
Sales,13.63,17.87,13.84,17.89,19.58,26.83,36.16
  └─ YOY Sales Growth %,,,1.54%,,,49.97%,
Expenses,13.16,18.69,13.44,16.35,18.81,25.13,33.21
  └─ Material Cost %,75%,76%,74%,68%,74%,77%,77%
  └─ Employee Cost %,10%,7%,11%,10%,10%,7%,6%
Operating Profit,0.47,-0.82,0.40,1.54,0.77,1.70,2.95
OPM %,3.45%,-4.59%,2.89%,8.61%,3.93%,6.34%,8.16%
Other Income,0.04,0.04,0.10,0.11,0.14,0.14,0.32
  └─ Other income normal,0.04,0.04,0.10,0.11,0.14,0.14,0.32
Interest,0.95,0.65,0.75,0.67,0.41,0.48,0.33
Depreciation,0.45,0.45,0.45,0.07,0.12,0.09,0.12
Profit before tax,-0.89,-1.88,-0.70,0.91,0.38,1.27,2.82
Tax %,0.00%,0.00%,0.00%,15.38%,10.53%,3.15%,-3.55%
Net Profit,-0.89,-1.88,-0.70,0.77,0.34,1.22,2.92
  └─ Profit excl Excep,-0.89,-1.88,-0.70,0.77,0.34,1.22,2.92
  └─ Profit for PE,-0.89,-1.88,-0.70,0.77,0.34,1.22,2.92
  └─ Profit for EPS,-0.89,-1.88,-0.70,0.77,0.34,1.22,2.92
  └─ YOY Profit Growth %,,,21.35%,,,58.44%,
EPS in Rs,-1.87,-3.96,-1.47,1.62,0.72,2.57,6.15
Raw PDF,,,,,,,
