Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Sep 2025,Dec 2025,Mar 2026
Sales,15.22,39.81,13.03,16.12,32.15,67.26,10.53,22.70,16.21,60.86,18.50,19.73,21.91
  └─ YOY Sales Growth %,-28.21%,35.41%,77.76%,70.40%,111.24%,68.95%,-19.19%,40.82%,-49.58%,-9.52%,,,
Expenses,14.22,35.97,10.10,13.16,26.64,59.04,2.85,16.68,8.57,43.81,17.75,20.12,21.23
  └─ Material Cost %,89%,88%,72%,69%,80%,87%,-6%,50%,17%,65%,6%,44%,-200%
  └─ Employee Cost %,1%,1%,3%,2%,1%,1%,4%,2%,4%,1%,2%,2%,2%
Operating Profit,1.00,3.84,2.93,2.96,5.51,8.22,7.68,6.02,7.64,17.05,0.75,-0.39,0.68
OPM %,6.57%,9.65%,22.49%,18.36%,17.14%,12.22%,72.93%,26.52%,47.13%,28.02%,4.05%,-1.98%,3.10%
Other Income,1.72,-1.21,0.69,4.89,2.55,5.26,1.84,1.51,1.23,3.71,4.13,3.67,5.44
  └─ Other income normal,1.72,-1.21,0.69,4.89,2.55,5.26,1.84,1.51,1.23,3.71,4.13,3.67,5.44
Interest,0.17,1.36,1.56,3.77,3.00,4.25,4.80,2.38,4.39,7.33,0.80,0.09,0.22
Depreciation,0.04,0.05,0.04,0.04,0.04,0.02,1.24,1.39,1.56,1.82,0.01,0.01,0.00
Profit before tax,2.51,1.22,2.02,4.04,5.02,9.21,3.48,3.76,2.92,11.61,4.07,3.18,5.90
Tax %,15.94%,86.07%,25.25%,12.13%,19.32%,15.09%,8.91%,15.69%,19.86%,-2.93%,25.06%,25.79%,26.61%
Net Profit,2.14,0.13,1.49,3.58,4.04,7.77,3.18,3.12,2.33,12.00,3.05,2.36,4.33
  └─ Profit from Associates,0.02,-0.05,-0.02,0.04,-0.01,-0.05,0.01,-0.05,-0.01,0.05,0.00,0.00,0.00
  └─ Minority share,0.00,0.00,0.00,0.00,-0.22,0.00,0.00,-0.48,0.08,-0.40,0.00,0.00,0.00
  └─ Profit excl Excep,2.14,0.13,1.49,3.58,4.04,7.77,3.18,3.12,2.33,12.00,3.05,2.36,4.33
  └─ Profit for PE,2.14,0.13,1.49,3.58,3.82,7.77,3.18,2.64,2.41,11.60,3.05,2.36,4.33
  └─ Profit for EPS,2.14,0.13,1.49,3.58,3.82,7.77,3.18,2.64,2.41,11.60,3.05,2.36,4.33
  └─ YOY Profit Growth %,-28.43%,154.17%,28.45%,114.37%,78.50%,5876.92%,113.42%,-26.26%,-36.91%,49.29%,,,
EPS in Rs,0.12,0.01,0.09,0.21,0.22,0.45,0.18,0.15,0.14,0.67,0.15,0.12,0.21
Raw PDF,,,,,,,,,,,,,
