Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,233.59,182.25,189.92,174.94,200.07,194.14,201.74,198.13,194.03,186.36,178.20,181.32,187.66
  └─ YOY Sales Growth %,-8.64%,-26.55%,-25.24%,-28.85%,-14.35%,6.52%,6.22%,13.26%,-3.02%,-4.01%,-11.67%,-8.48%,-3.28%
Expenses,219.16,168.79,173.22,157.69,208.33,175.20,194.09,187.47,186.35,175.29,174.78,168.31,170.73
  └─ Material Cost %,80%,67%,68%,63%,70%,65%,71%,67%,67%,67%,72%,66%,62%
  └─ Employee Cost %,7%,10%,9%,10%,9%,9%,10%,11%,11%,11%,11%,12%,10%
Operating Profit,14.43,13.46,16.70,17.25,-8.26,18.94,7.65,10.66,7.68,11.07,3.42,13.01,16.93
OPM %,6.18%,7.39%,8.79%,9.86%,-4.13%,9.76%,3.79%,5.38%,3.96%,5.94%,1.92%,7.18%,9.02%
Other Income,231.29,2.75,0.56,3.76,8.82,3.74,-6.02,-6.47,21.16,6.08,4.32,3.34,12.46
  └─ Exceptional items,227.26,-0.84,-9.55,0.00,3.76,0.00,-9.93,-9.91,13.79,0.00,0.00,-1.80,-2.00
  └─ Other income normal,4.03,3.59,10.11,3.76,5.06,3.74,3.91,3.44,7.37,6.08,4.32,5.14,14.46
Interest,11.38,19.00,19.66,20.54,22.59,20.85,23.68,19.48,18.68,18.55,19.06,17.04,17.69
Depreciation,9.30,10.50,10.48,10.57,13.40,11.52,11.04,11.74,4.66,11.56,12.23,5.01,4.78
Profit before tax,225.04,-13.29,-12.88,-10.10,-35.43,-9.69,-33.09,-27.03,5.50,-12.96,-23.55,-5.70,6.92
Tax %,65.22%,-1.13%,-5.36%,34.06%,-44.48%,55.01%,-9.55%,-39.92%,-119.27%,-24.69%,-0.98%,3.33%,-13.44%
Net Profit,78.28,-13.14,-12.19,-13.54,-19.67,-15.02,-29.93,-16.24,12.06,-9.76,-23.32,-5.89,7.85
  └─ Minority share,-32,5,5,7,9,9,14,9,6,6,11,7,6
  └─ Exceptional items AT,79,-1,-10,0,4,0,-10,-10,14,0,0,-2,-2
  └─ Profit excl Excep,-1,-12,-3,-14,-23,-15,-20,-6,-2,-10,-23,-4,10
  └─ Profit for PE,-1,-7,-2,-7,-13,-6,-11,-3,4,-4,-12,3,15
  └─ Profit for EPS,46,-8,-8,-7,-11,-6,-16,-7,18,-4,-12,1,13
  └─ YOY Profit Growth %,78%,-21%,86%,43%,-1729%,14%,-552%,59%,130%,41%,-15%,197%,301%
EPS in Rs,19.63,-3.36,-3.22,-2.91,-4.63,-2.71,-6.81,-3.04,7.47,-1.61,-5.25,0.41,5.68
Raw PDF,,,,,,,,,,,,,
